LEMMAPATH	LEMMAREL	_model	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
		spot.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	BOW	bound	398	lex	10_10	1	weight	5000	5000	nav	4_4	195	spot
		spot.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	BOW	bound	398	lex	10_10	1	weight	5000	5000	all	4_4	195	spot
		spot.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	bound	398	lex	10_10	1	weight	FOC	307	nav	4_4	195	spot
		spot.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	BOW	bound	398	lex	10_10	1	weight	FOC	398	all	4_4	195	spot
		spot.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	BOW	bound	398	lex	10_10	1	selection	5000	5000	nav	4_4	195	spot
		spot.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	BOW	bound	398	lex	10_10	1	selection	5000	5000	all	4_4	195	spot
		spot.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	bound	398	lex	10_10	1	selection	FOC	307	nav	4_4	195	spot
		spot.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	BOW	bound	398	lex	10_10	1	selection	FOC	398	all	4_4	195	spot
		spot.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	BOW	bound	757	lex	10_10	1	no	5000	5000	nav	4_4	200	spot
		spot.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	BOW	bound	757	lex	10_10	1	no	5000	5000	all	4_4	200	spot
		spot.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	BOW	bound	757	lex	10_10	1	no	FOC	584	nav	4_4	200	spot
		spot.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	BOW	bound	757	lex	10_10	1	no	FOC	757	all	4_4	200	spot
		spot.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	BOW	bound	514	all	10_10	1	weight	5000	5000	nav	4_4	215	spot
		spot.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	BOW	bound	514	all	10_10	1	weight	5000	5000	all	4_4	215	spot
		spot.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	bound	514	all	10_10	1	weight	FOC	307	nav	4_4	215	spot
		spot.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	BOW	bound	514	all	10_10	1	weight	FOC	514	all	4_4	215	spot
		spot.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	BOW	bound	514	all	10_10	1	selection	5000	5000	nav	4_4	215	spot
		spot.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	BOW	bound	514	all	10_10	1	selection	5000	5000	all	4_4	215	spot
		spot.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	bound	514	all	10_10	1	selection	FOC	307	nav	4_4	215	spot
		spot.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	BOW	bound	514	all	10_10	1	selection	FOC	514	all	4_4	215	spot
		spot.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	BOW	bound	1030	all	10_10	1	no	5000	5000	nav	4_4	215	spot
		spot.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	BOW	bound	1030	all	10_10	1	no	5000	5000	all	4_4	215	spot
		spot.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	BOW	bound	1030	all	10_10	1	no	FOC	584	nav	4_4	215	spot
		spot.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	BOW	bound	1030	all	10_10	1	no	FOC	1030	all	4_4	215	spot
		spot.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	BOW	bound	330	lex	5_5	1	weight	5000	5000	nav	4_4	194	spot
		spot.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	BOW	bound	330	lex	5_5	1	weight	5000	5000	all	4_4	194	spot
		spot.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	bound	330	lex	5_5	1	weight	FOC	250	nav	4_4	194	spot
		spot.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	BOW	bound	330	lex	5_5	1	weight	FOC	330	all	4_4	194	spot
		spot.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	BOW	bound	330	lex	5_5	1	selection	5000	5000	nav	4_4	194	spot
		spot.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	BOW	bound	330	lex	5_5	1	selection	5000	5000	all	4_4	194	spot
		spot.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	bound	330	lex	5_5	1	selection	FOC	250	nav	4_4	194	spot
		spot.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	BOW	bound	330	lex	5_5	1	selection	FOC	330	all	4_4	194	spot
		spot.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	BOW	bound	467	lex	5_5	1	no	5000	5000	nav	4_4	199	spot
		spot.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	BOW	bound	467	lex	5_5	1	no	5000	5000	all	4_4	199	spot
		spot.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	BOW	bound	467	lex	5_5	1	no	FOC	356	nav	4_4	199	spot
		spot.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	BOW	bound	467	lex	5_5	1	no	FOC	467	all	4_4	199	spot
		spot.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	BOW	bound	428	all	5_5	1	weight	5000	5000	nav	4_4	215	spot
		spot.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	BOW	bound	428	all	5_5	1	weight	5000	5000	all	4_4	215	spot
		spot.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	bound	428	all	5_5	1	weight	FOC	250	nav	4_4	215	spot
		spot.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	BOW	bound	428	all	5_5	1	weight	FOC	428	all	4_4	215	spot
		spot.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	BOW	bound	428	all	5_5	1	selection	5000	5000	nav	4_4	215	spot
		spot.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	BOW	bound	428	all	5_5	1	selection	5000	5000	all	4_4	215	spot
		spot.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	bound	428	all	5_5	1	selection	FOC	250	nav	4_4	215	spot
		spot.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	BOW	bound	428	all	5_5	1	selection	FOC	428	all	4_4	215	spot
		spot.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	BOW	bound	627	all	5_5	1	no	5000	5000	nav	4_4	215	spot
		spot.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	BOW	bound	627	all	5_5	1	no	5000	5000	all	4_4	215	spot
		spot.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	BOW	bound	627	all	5_5	1	no	FOC	356	nav	4_4	215	spot
		spot.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	BOW	bound	627	all	5_5	1	no	FOC	627	all	4_4	215	spot
		spot.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	BOW	bound	228	lex	3_3	1	weight	5000	5000	nav	4_4	187	spot
		spot.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	BOW	bound	228	lex	3_3	1	weight	5000	5000	all	4_4	187	spot
		spot.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	bound	228	lex	3_3	1	weight	FOC	173	nav	4_4	187	spot
		spot.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	BOW	bound	228	lex	3_3	1	weight	FOC	228	all	4_4	187	spot
		spot.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	BOW	bound	228	lex	3_3	1	selection	5000	5000	nav	4_4	187	spot
		spot.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	BOW	bound	228	lex	3_3	1	selection	5000	5000	all	4_4	187	spot
		spot.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	bound	228	lex	3_3	1	selection	FOC	173	nav	4_4	187	spot
		spot.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	BOW	bound	228	lex	3_3	1	selection	FOC	228	all	4_4	187	spot
		spot.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	BOW	bound	293	lex	3_3	1	no	5000	5000	nav	4_4	195	spot
		spot.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	BOW	bound	293	lex	3_3	1	no	5000	5000	all	4_4	195	spot
		spot.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	BOW	bound	293	lex	3_3	1	no	FOC	228	nav	4_4	195	spot
		spot.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	BOW	bound	293	lex	3_3	1	no	FOC	293	all	4_4	195	spot
		spot.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	BOW	bound	304	all	3_3	1	weight	5000	5000	nav	4_4	214	spot
		spot.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	BOW	bound	304	all	3_3	1	weight	5000	5000	all	4_4	214	spot
		spot.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	bound	304	all	3_3	1	weight	FOC	173	nav	4_4	214	spot
		spot.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	BOW	bound	304	all	3_3	1	weight	FOC	304	all	4_4	214	spot
		spot.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	BOW	bound	304	all	3_3	1	selection	5000	5000	nav	4_4	214	spot
		spot.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	BOW	bound	304	all	3_3	1	selection	5000	5000	all	4_4	214	spot
		spot.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	bound	304	all	3_3	1	selection	FOC	173	nav	4_4	214	spot
		spot.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	BOW	bound	304	all	3_3	1	selection	FOC	304	all	4_4	214	spot
		spot.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	BOW	bound	407	all	3_3	1	no	5000	5000	nav	4_4	214	spot
		spot.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	BOW	bound	407	all	3_3	1	no	5000	5000	all	4_4	214	spot
		spot.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	BOW	bound	407	all	3_3	1	no	FOC	228	nav	4_4	214	spot
		spot.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	BOW	bound	407	all	3_3	1	no	FOC	407	all	4_4	214	spot
		spot.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	BOW	nobound	472	lex	10_10	1	weight	5000	5000	nav	4_4	209	spot
		spot.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	BOW	nobound	472	lex	10_10	1	weight	5000	5000	all	4_4	209	spot
		spot.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	nobound	472	lex	10_10	1	weight	FOC	366	nav	4_4	209	spot
