met	homogeneity	completeness	vmeasure	model	technique	homogeneity_rank	completeness_rank	vmeasure_rank
average	0.1035779122223599	0.12064639268918835	0.11146250605468164	huldigen.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	1	35	1
average	0.09951329872390172	0.10914484962755747	0.10410678050174026	huldigen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	2	37	2
mcquitty	0.10121642112029719	0.10639234878243933	0.10373986400849991	huldigen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	1	12	1
mcquitty	0.10121642112029719	0.10639234878243933	0.10373986400849991	huldigen.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	2	13	2
ward.D2	0.09579671072703472	0.11283287439902645	0.1036192275680575	huldigen.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	1	1	1
average	0.09930551169129219	0.09995352572430061	0.09962846499853326	huldigen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	3	38	3
ward.D	0.09493293027919078	0.10318685572809058	0.09888795842131307	huldigen.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.10	2	1	1
complete	0.09682750294959043	0.10099086144990041	0.09886537040791628	huldigen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	1	3	1
ward.D	0.09815104776709331	0.0924590439241571	0.09522005845733812	huldigen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	1	2	2
single	0.06486242767445212	0.16231605781056963	0.09268671316003121	huldigen.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	3	134	1
average	0.09180764817925605	0.09302812543794987	0.09241385738099313	huldigen.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.10	4	39	4
complete	0.0894031692633735	0.0939749999184358	0.09163209406790013	huldigen.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	2	5	2
