met	homogeneity	completeness	vmeasure	model	technique	homogeneity_rank	completeness_rank	vmeasure_rank
single	0.048021691354277155	0.35967190350795203	0.08473055920783316	haten.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.20	1	2	1
single	0.04215598301658702	0.27124409631608076	0.07297101865448248	haten.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	tsne.50	2	22	2
single	0.03789656017367152	0.28383689848637667	0.0668655485680325	haten.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	tsne.30	3	10	3
single	0.03433790454425195	0.307710294032422	0.06178150768071062	haten.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	4	4	4
single	0.03433790454425195	0.307710294032422	0.06178150768071062	haten.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	tsne.20	5	5	5
single	0.03433790454425195	0.307710294032422	0.06178150768071062	haten.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	6	6	6
single	0.03433790454425195	0.307710294032422	0.06178150768071062	haten.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	7	7	7
single	0.0335069482348994	0.30026389292924893	0.0602864329436241	haten.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall	tsne.20	8	8	8
single	0.0335069482348994	0.30026389292924893	0.0602864329436241	haten.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall	tsne.50	9	9	9
mcquitty	0.06225651139806818	0.05811136229086092	0.0601125628947785	haten.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	1	24	1
ward.D2	0.06237351942418963	0.05492443719165483	0.05841244892707038	haten.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	1	3	1
single	0.030404379278912604	0.3490757357648696	0.05593669152353903	haten.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	11	3	10
average	0.059411453489371234	0.05070659335273695	0.05471496269635284	haten.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	1	113	1
single	0.03145972314736114	0.17911141310834977	0.05351916287404744	haten.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	tsne.10	10	50	11
average	0.03399503316749642	0.10468499179512629	0.05132346593063528	haten.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds	5	58	2
average	0.040521433997132136	0.06954744050347385	0.051207246968178535	haten.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	tsne.10	3	79	3
single	0.029004295822637	0.21723579478852403	0.05117583606855958	haten.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.50	12	46	12
single	0.028493924966105328	0.21341322935430215	0.050275326176929994	haten.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	13	47	13
single	0.026497508688718124	0.4233767270736464	0.04987362072524134	haten.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds	20	1	14
single	0.02807647529882469	0.21028662318497957	0.04953876853490804	haten.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.30	14	48	15
single	0.027128798841673116	0.2431077486851206	0.048810727277936	haten.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	tsne.10	15	41	16
single	0.027128798841673116	0.2431077486851206	0.048810727277936	haten.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	16	42	17
single	0.027128798841673116	0.2431077486851206	0.048810727277936	haten.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	17	43	18
average	0.045934797241963574	0.05125718634549715	0.048450260506417334	haten.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.30	2	112	4
single	0.027113666166710636	0.17633382804616893	0.047000397483778	haten.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	18	51	19
average	0.02760941034596537	0.15043660271052756	0.04665609551133337	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds	28	9	5
single	0.026557550115128628	0.15120159537117558	0.045179604521296275	haten.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	19	99	20
average	0.02496263911512399	0.2289207399323008	0.04501646258481323	haten.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	mds	39	2	6
mcquitty	0.041709765653144416	0.04785866392522255	0.044573152977904956	haten.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	2	29	2
average	0.027874282394585295	0.10715901979432312	0.0442406536825294	haten.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds	27	56	7
single	0.024293284003384544	0.1878618386814941	0.04302305730572709	haten.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	26	49	21
ward.D2	0.04661633751219107	0.03966359697082701	0.042859829099743056	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	2	4	2
single	0.023243464719853744	0.2668605556580176	0.04276234367575028	haten.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	mds	28	23	22
single	0.023243464719853744	0.2668605556580176	0.04276234367575028	haten.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	mds	29	24	23
single	0.023243464719853744	0.2668605556580176	0.04276234367575028	haten.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	tsne.20	30	25	24
complete	0.03669350955291648	0.05110601252893402	0.04271683750610197	haten.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds	5	11	1
single	0.024591016022050608	0.15992776351420712	0.042627489785404746	haten.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	tsne.10	21	64	25
ward.D	0.04545798193173606	0.03904916059466155	0.042010556355212114	haten.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	tsne.20	1	2	1
single	0.02410850528881317	0.15512127253734262	0.04173125765966549	haten.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	tsne.20	27	84	26
single	0.02451413326725701	0.1395676951783064	0.041703351453570625	haten.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	tsne.50	22	136	27
single	0.024433042709382406	0.1391060177394227	0.04156540050104286	haten.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	23	137	28
single	0.024433042709382406	0.1391060177394227	0.04156540050104286	haten.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	tsne.10	24	138	29
single	0.024433042709382406	0.1391060177394227	0.04156540050104286	haten.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.50	25	139	30
average	0.027932763553850846	0.07625109743280462	0.04088740530714227	haten.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	26	70	8
single	0.022884170882252693	0.14882728984413987	0.03966874567752562	haten.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	33	107	31
ward.D	0.037904060301548956	0.04118856508313531	0.03947811435142353	haten.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds	7	1	2
single	0.02225688790565009	0.1666991939149033	0.03927055681065312	haten.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	37	52	32
single	0.022224962082535268	0.1664600765234301	0.039214226165700763	haten.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	tsne.30	38	53	33
ward.D2	0.04167479807433367	0.03701976996161853	0.039209604332637024	haten.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	tsne.50	3	5	3
single	0.022904122448503306	0.13040132993357934	0.03896440709496188	haten.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	tsne.50	32	204	34
single	0.022413537484961107	0.1442153470353846	0.03879730811364326	haten.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	34	115	35
single	0.022413537484961107	0.1442153470353846	0.03879730811364326	haten.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	35	116	36
ward.D2	0.041205675351987804	0.03648614085260963	0.03870255963280121	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	4	7	4
single	0.020980440778844693	0.24087855023654395	0.03859892790799598	haten.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	49	44	37
average	0.026304833495503926	0.07198100479640093	0.038529423544924814	haten.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	32	73	9
ward.D	0.04031994745703494	0.036784597069409224	0.038471221902053036	haten.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	tsne.50	2	5	3
ward.D	0.03834425055557799	0.0383753915614791	0.03835981473835928	haten.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	mds	5	3	4
single	0.022037136373544212	0.14331859778864967	0.03820044705840881	haten.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	39	119	38
average	0.02606820757110166	0.06878144449084735	0.037807391657199756	haten.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	mds	33	81	10
single	0.023158830808284035	0.10081093449725095	0.03766504469687177	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.10	31	410	39
single	0.021329067381837777	0.15975002231135882	0.03763348927700158	haten.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.30	44	65	40
single	0.021329067381837773	0.1597500223113588	0.037633489277001574	haten.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	45	66	41
single	0.021329067381837773	0.1597500223113588	0.037633489277001574	haten.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30	46	67	42
single	0.021329067381837773	0.1597500223113588	0.037633489277001574	haten.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	tsne.50	47	68	43
single	0.022295953375344228	0.11688325916385525	0.03744846157886706	haten.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.10	36	355	44
single	0.02156676685415019	0.14025954788219258	0.037385081322184044	haten.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.10	42	132	45
single	0.02156676685415019	0.14025954788219258	0.037385081322184044	haten.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	43	133	46
single	0.020149484469492256	0.23133825729338744	0.03707016962224392	haten.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds	55	45	47
single	0.02100446293376599	0.1573188064080329	0.03706074984132523	haten.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	48	82	48
ward.D	0.03985537313044355	0.03456741749723919	0.037023533003499996	haten.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	3	6	5
single	0.021639638272514326	0.12320217097869415	0.03681327136342934	haten.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	41	261	49
mcquitty	0.03969045662494473	0.03423048945624244	0.0367588303191208	haten.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	3	43	3
single	0.0208265081614312	0.15598596431315992	0.03674676241296935	haten.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	tsne.30	50	83	50
ward.D2	0.03676789275886826	0.03663238635624487	0.036700014476389486	haten.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	6	6	5
complete	0.03721779364051977	0.035907197832135244	0.03655075104180951	haten.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	mds	3	19	2
single	0.0205469712644745	0.153892294452859	0.03625354118459514	haten.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	52	89	51
average	0.030072433384803542	0.045521545718051996	0.03621832498899893	haten.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	16	122	11
complete	0.03883203433354937	0.033854348100911175	0.036172751037097925	haten.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	1	24	3
ward.D	0.03935667766250052	0.03290169406267039	0.03584086762153408	haten.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30	4	7	6
single	0.02064579514668037	0.1342700049815074	0.03578861568539972	haten.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	51	170	52
complete	0.037640110103837755	0.03379500780820382	0.03561407475877978	haten.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	2	25	4
mcquitty	0.03945469225400901	0.032333327080249344	0.03554079026918267	haten.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	4	48	4
average	0.02002065825472226	0.15482129426478353	0.03545629842681173	haten.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	mds	88	7	12
mcquitty	0.03289672357955664	0.03835953434046904	0.03541872769280741	haten.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	mds	10	38	5
complete	0.03688829080315457	0.03401167012809366	0.035391623970080964	haten.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	tsne.20	4	22	5
single	0.02002065825472226	0.14995032579827672	0.03532490259696878	haten.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	tsne.10	56	100	53
single	0.02002065825472226	0.14995032579827672	0.03532490259696878	haten.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	57	101	54
single	0.02002065825472226	0.14995032579827672	0.03532490259696878	haten.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	58	102	55
single	0.02002065825472226	0.14995032579827672	0.03532490259696878	haten.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	59	103	56
single	0.02002065825472226	0.14995032579827672	0.03532490259696878	haten.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	60	104	57
single	0.02002065825472226	0.14995032579827672	0.03532490259696878	haten.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	61	105	58
single	0.02002065825472226	0.14995032579827672	0.03532490259696878	haten.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.50	62	106	59
average	0.023156756225501163	0.07238571576425612	0.035088444735677266	haten.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	mds	49	72	13
ward.D2	0.034529087422092056	0.03550599901367546	0.03501072980259194	haten.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	mds	10	10	6
ward.D	0.03804137403827261	0.03239683367051173	0.034992942251196604	haten.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	6	11	7
average	0.024448704082266952	0.06146547068014406	0.034982611614249676	haten.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	mds	42	87	14
ward.D	0.03769291001000774	0.03248176692186923	0.0348938497783353	haten.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSall	tsne.30	8	10	8
average	0.030974577020886084	0.03991126413999556	0.03487958962917512	haten.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	tsne.30	13	135	15
ward.D	0.037370639699119565	0.03260991100415972	0.03482834080354561	haten.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	mds	9	9	9
single	0.019678195128269134	0.1473853523227702	0.03472065290492098	haten.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	tsne.30	63	108	60
single	0.019678195128269134	0.1473853523227702	0.03472065290492098	haten.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	tsne.30	64	109	61
ward.D2	0.038351735031306296	0.03155557438934172	0.03462330442324984	haten.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	5	14	7
mcquitty	0.032394601362135456	0.036796972857235224	0.03445573483453822	haten.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	tsne.10	13	40	6
complete	0.02429948644641851	0.0585492329540565	0.03434491933998774	haten.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	mds	45	7	6
average	0.030801744232594686	0.03872703523098059	0.03431270455987978	haten.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	14	138	16
average	0.029207854953729594	0.041328893594740214	0.03422693431024283	haten.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	19	129	17
ward.D2	0.036233459263638176	0.032271554993468204	0.03413794116855587	haten.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	8	12	8
single	0.020346279237326546	0.10173739208116137	0.03391079848443604	haten.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	53	408	62
single	0.020150632375393714	0.10563672907807883	0.03384516327228622	haten.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	54	404	63
ward.D2	0.03224160464281433	0.035538778858194946	0.033809996292430776	haten.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	mds	13	9	9
