met	homogeneity	completeness	vmeasure	model	technique	homogeneity_rank	completeness_rank	vmeasure_rank
single	0.06644195826673256	0.22533424866175714	0.10262419203577726	blik.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30	1	39	1
average	0.05352138468467643	0.18767061118824777	0.08328958794060973	blik.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	mds	22	9	1
single	0.04892960084938166	0.24040127319950555	0.08130994232815576	blik.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	3	24	2
single	0.04892960084938166	0.24040127319950555	0.08130994232815576	blik.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.20	4	25	3
single	0.047726040521611425	0.26544900649662956	0.08090574367977495	blik.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.20	5	14	4
single	0.04414531276634093	0.4392021806063581	0.08022682602628667	blik.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	mds	7	1	5
single	0.0455754084634767	0.22392143060667907	0.07573603236933545	blik.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	6	40	6
single	0.042439906680066426	0.2360478879225687	0.07194462758954825	blik.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	13	29	7
single	0.04326896741896207	0.21258940757694447	0.07190324842960819	blik.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	tsne.10	11	45	8
single	0.04343228534597535	0.1975258361412924	0.07120738181007356	blik.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	9	49	9
single	0.040961539579216055	0.2670500446608009	0.07102837382558186	blik.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	tsne.20	15	13	10
single	0.04342236761912408	0.19107448840804445	0.07076347904066482	blik.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	tsne.50	10	53	11
single	0.04318267297122106	0.1914697930514324	0.070471686041511	blik.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	12	52	12
single	0.03989290013540797	0.26008301622078484	0.06917532526638961	blik.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	20	17	13
single	0.03801990880847159	0.3782604722616781	0.069094914462543	blik.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	mds	24	2	14
single	0.03801990880847159	0.3782604722616781	0.069094914462543	blik.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds	25	3	15
single	0.03801990880847159	0.3782604722616781	0.069094914462543	blik.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	mds	26	4	16
average	0.03932784866254122	0.26090713143356636	0.06835256955543588	blik.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	mds	126	2	2
average	0.061485199884031255	0.07401525995441421	0.06717088721605184	blik.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	mds	11	42	3
single	0.055276343883454454	0.08129842240517385	0.06580834331509897	blik.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	2	287	17
single	0.04020295901947043	0.17825789173920045	0.06560896097951159	blik.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	19	59	18
single	0.036385201044232776	0.2865919893181272	0.06457240610278046	blik.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	33	11	19
single	0.03939950841919102	0.17337241904353867	0.06420760638132524	blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	21	62	20
complete	0.03522002448110747	0.35040439366659104	0.06400658642160008	blik.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	mds	221	1	1
mcquitty	0.06036533761417861	0.06636736747707862	0.06322422521374059	blik.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	mds	12	10	1
single	0.03558896563373949	0.28032035459549937	0.06315933609617853	blik.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	mds	37	12	21
single	0.034483551723224835	0.3430772184593094	0.06266816863458648	blik.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	mds	42	5	22
single	0.034483551723224835	0.3430772184593094	0.06266816863458648	blik.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	mds	43	6	23
single	0.034483551723224835	0.3430772184593094	0.06266816863458648	blik.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds	44	7	24
complete	0.08913144238659602	0.0476853253687793	0.06213071541629739	blik.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	1	10	2
single	0.03333170084237719	0.3316174419417134	0.060574869608365785	blik.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	mds	51	8	25
single	0.03333170084237719	0.3316174419417134	0.060574869608365785	blik.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	mds	52	9	26
single	0.03333170084237719	0.3316174419417134	0.060574869608365785	blik.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	mds	53	10	27
complete	0.08649337116078931	0.04640230861434845	0.060400640690340617	blik.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	2	11	3
single	0.035418437554832094	0.19699495197670444	0.06004175077234351	blik.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	39	50	28
ward.D	0.08346983733378578	0.0467078254101634	0.059898057885240705	blik.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	1	1	1
single	0.037798831701955096	0.14215673013382218	0.059718724587486546	blik.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.10	28	111	29
average	0.06264995300845284	0.05655475143941105	0.05944652162001691	blik.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	mds	9	59	4
single	0.036410816220741014	0.1614437219128422	0.05942039787424166	blik.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	32	68	30
single	0.044130534880736164	0.08924087800896624	0.05905684875692395	blik.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	8	259	31
mcquitty	0.06463994195822839	0.05425528629462861	0.058994101084583854	blik.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	mds	7	13	2
average	0.06419469834219589	0.053142659338645634	0.05814818149605309	blik.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	6	64	5
single	0.034046303356419526	0.18936323445377828	0.05771569278517922	blik.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	47	54	32
single	0.0353436323942922	0.1567118826741233	0.05767881407705059	blik.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	40	71	33
ward.D2	0.07821815338200774	0.044843020896228415	0.057004791432322524	blik.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	1	2	1
single	0.03287143101017364	0.21430632758211648	0.05699991538299308	blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	mds	59	44	34
single	0.040516443768307916	0.0926263264056727	0.05637391110875023	blik.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	tsne.10	17	249	35
average	0.07641053971843119	0.044607483375134795	0.05633015303083745	blik.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	1	87	6
single	0.03546113688938794	0.13336494912784586	0.05602537888352201	blik.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	38	149	36
single	0.032906055722594196	0.183021254305184	0.05578273162214355	blik.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	58	57	37
average	0.04403113953343437	0.07412426306908407	0.055245476687805224	blik.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	mds	76	41	7
average	0.03159335556385318	0.20959528814442427	0.054909869395544854	blik.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	mds	269	7	8
single	0.03303806450284603	0.16232286044965652	0.05490179917121169	blik.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	tsne.20	55	66	38
single	0.03303806450284603	0.16232286044965652	0.05490179917121169	blik.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	tsne.30	56	67	39
mcquitty	0.06426683310100693	0.04750502684809556	0.05462909239043983	blik.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	mds	8	17	3
ward.D	0.07519694910790684	0.04285086997824588	0.05459236289036476	blik.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	2	2	2
