met	homogeneity	completeness	vmeasure	model	technique	homogeneity_rank	completeness_rank	vmeasure_rank
median	0.11373361693469614	0.125219823696943	0.11920065618919236	herstellen.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	1	1	1
median	0.11373361693469614	0.125219823696943	0.11920065618919236	herstellen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	2	2	2
single	0.08106921669497165	0.22451106519882064	0.11912376074937997	herstellen.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	5	136	1
single	0.06993430312731849	0.23915173062674683	0.10822171044054012	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	17	102	2
single	0.098246751618483	0.11903757885358814	0.10764748122872389	herstellen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.10	1	654	3
single	0.07293640685202862	0.20520675843933306	0.10762114975314108	herstellen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	10	198	4
single	0.07208958054575089	0.209917389512474	0.10732257118388835	herstellen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30	13	180	5
single	0.07133024367902492	0.20613201647633753	0.10598520286739448	herstellen.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30	15	192	6
single	0.08874589486009041	0.1298665919747605	0.10543887116509428	herstellen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.10	2	572	7
average	0.1115707135152006	0.09986236592412337	0.10539235817797275	herstellen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	1	41	1
single	0.07252291211387014	0.19244982986223844	0.10534685185608128	herstellen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	11	249	8
single	0.08252194081756856	0.14336820941279654	0.10475023262606335	herstellen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.10	3	484	9
single	0.08217525086720225	0.14215023913438724	0.10414537876741777	herstellen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	4	490	10
median	0.10039258592845668	0.10758602315419606	0.10386490343260443	herstellen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	3	5	3
single	0.06948793764126154	0.1955183231196304	0.10253467224247456	herstellen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.20	19	228	11
single	0.07144953398302112	0.18115511504265816	0.10247989178633606	herstellen.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	14	301	12
complete	0.1082404951728714	0.09609972809169816	0.10180944298133479	herstellen.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.10	1	2	1
single	0.07576131356329473	0.154123097632753	0.10158643003542674	herstellen.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	7	411	13
single	0.07576131356329473	0.154123097632753	0.10158643003542674	herstellen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	8	412	14
single	0.06961040004302066	0.18659740444181636	0.10139519361091814	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	18	272	15
single	0.0707825974512725	0.17256026198124655	0.10038727734513048	herstellen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.20	16	330	16
