met	homogeneity	completeness	vmeasure	model	technique	homogeneity_rank	completeness_rank	vmeasure_rank
median	0.21207020657714062	0.22395221865577009	0.21784931473819685	staal.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	1	1	1
ward.D	0.24872343966830793	0.1500970394335268	0.18721532061749482	staal.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.20	1	1	1
average	0.21488428887439984	0.15272366911767896	0.1785484580469759	staal.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	1	7	1
ward.D	0.21396622017334618	0.14589614328291942	0.173493254567084	staal.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	mds	2	2	2
complete	0.22955987211863363	0.13920502347894365	0.17331306623594808	staal.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	1	1	1
average	0.19896736718860789	0.14166140569381963	0.16549392868150525	staal.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	4	12	2
average	0.2003016883418665	0.13578456962485952	0.1618505839017422	staal.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.10	3	14	3
ward.D2	0.21042651320937114	0.13144029228799273	0.16180876269132938	staal.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	1	2	1
average	0.19717501926094178	0.13528515516050427	0.16046946447593036	staal.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30	5	15	4
ward.D2	0.19315757588504873	0.13378208294013663	0.15807823945510702	staal.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	mds	4	1	2
average	0.20508726087224866	0.1245764997993324	0.15500067742265367	staal.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.20	2	19	5
ward.D2	0.19957963306706733	0.12504085530807554	0.15375251356247355	staal.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	2	4	3
ward.D2	0.19672742190092538	0.1260192863987602	0.15362789881656927	staal.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	3	3	4
average	0.1787583917496348	0.13359418682857208	0.15291106027220736	staal.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.20	9	16	6
