met	homogeneity	completeness	vmeasure	model	technique	homogeneity_rank	completeness_rank	vmeasure_rank
ward.D2	0.22588642805476866	0.202638379682928	0.21363178489027304	stof.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	1	1	1
ward.D	0.21487945282266263	0.20035964873685272	0.20736569136490668	stof.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	1	1	1
average	0.18760255254582797	0.22049526313264817	0.20272333052887	stof.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	2	4	1
complete	0.2083047375183861	0.19225968389349604	0.19996085946745842	stof.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	1	2	1
average	0.18400905824389538	0.20002834264990016	0.1916845956536104	stof.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30	3	11	2
centroid	0.17359147107334047	0.21360237175888266	0.19152964658297067	stof.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	1	1	1
ward.D2	0.19592975346664657	0.1861598497169936	0.19091989500121648	stof.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	2	2	2
average	0.1961308176335145	0.18127538638527166	0.18841073289195231	stof.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.30	1	22	3
average	0.17936563323256766	0.19723886970380314	0.18787812937263695	stof.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	5	12	4
average	0.17129801082873208	0.19654811413379303	0.18305643962777837	stof.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	8	13	5
average	0.18352927943165515	0.18214376601657478	0.18283389791016263	stof.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.50	4	21	6
ward.D2	0.1858430687086003	0.1786300255379409	0.18216517286738848	stof.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	4	3	3
ward.D2	0.18934080789659183	0.17389793129509537	0.1812910972889584	stof.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	tsne.30	3	4	4
complete	0.18595419825985843	0.1763249403630328	0.18101159809014367	stof.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	2	3	2
average	0.17215102602731136	0.18922906533574027	0.1802865101332335	stof.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	7	18	7
mcquitty	0.17795309825065891	0.18011954177093403	0.1790297662043869	stof.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30	1	4	1
ward.D	0.18876441394907092	0.1698710067125637	0.17882004499097726	stof.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30	2	2	2
average	0.16694408433728167	0.19080055327289625	0.1780768755611624	stof.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	10	15	8
mcquitty	0.1703020669356973	0.1838155995662461	0.1768009873688941	stof.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30	3	3	2
