met	homogeneity	completeness	vmeasure	model	technique	homogeneity_rank	completeness_rank	vmeasure_rank
single	0.27599967088357147	0.4951469149771405	0.35443426211937024	schaal.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30	2	1	1
single	0.27938788439477186	0.48353921474385075	0.3541491667597646	schaal.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	1	2	2
centroid	0.34107325244848025	0.3492278038647422	0.34510236315078346	schaal.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30	1	1	1
average	0.29694474647695646	0.3681458649866453	0.3287340962592491	schaal.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	mds	4	4	1
average	0.29381295654550943	0.36500296999485404	0.3255616552114714	schaal.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	mds	6	5	2
average	0.23990710865872655	0.41475943896154394	0.30398296094974825	schaal.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	mds	24	2	3
single	0.26499362921658626	0.3419649398275414	0.2985987350419745	schaal.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	3	36	3
average	0.2669631636825817	0.32475139508282996	0.2930354122857256	schaal.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	mds	11	7	4
single	0.2283037892596898	0.39512749531289904	0.28939550084487853	schaal.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	tsne.20	5	10	4
mcquitty	0.28538849240935327	0.29082521385941335	0.28808120471626686	schaal.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	mds	2	3	1
average	0.3150580068359706	0.2609110477418174	0.2854393443872769	schaal.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	tsne.20	1	19	5
single	0.22011621565313338	0.4033200000398404	0.2847998556109284	schaal.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	9	7	5
average	0.29763253799524486	0.2618495596799117	0.27859675705198206	schaal.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	3	18	6
average	0.2666430930210398	0.290746792932742	0.2781737742545349	schaal.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	mds	12	12	7
ward.D2	0.31570725322981946	0.2430966816192436	0.2746844853339315	schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30	2	6	1
centroid	0.2491722364154661	0.3042561367756893	0.2739728778500583	schaal.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	2	2	2
ward.D2	0.3233314871398446	0.2368382875821469	0.27340738180168517	schaal.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	mds	1	7	2
single	0.22276447929574003	0.34986109421144573	0.27220797702243227	schaal.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	7	31	6
single	0.21071452211630756	0.3814591453497417	0.2714709752739022	schaal.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	11	12	7
average	0.305903859368323	0.24208490102722144	0.27027819134674225	schaal.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	2	29	8
ward.D2	0.28314075183258447	0.2580824325807799	0.27003149938932997	schaal.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds	3	2	3
single	0.2379188657769584	0.3064017444023306	0.26785226991964356	schaal.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.20	4	100	8
ward.D	0.25737211893901735	0.2714440469828796	0.26422085423040614	schaal.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	mds	3	1	1
single	0.20259441564575711	0.3779395520701074	0.26378626216248596	schaal.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	16	13	9
ward.D	0.30226408688387596	0.23274535425593018	0.2629881141190901	schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30	1	3	2
mcquitty	0.2990979310033686	0.23437939791364243	0.26281301635853016	schaal.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	1	16	2
