met	homogeneity	completeness	vmeasure	model	technique	homogeneity_rank	completeness_rank	vmeasure_rank
average	0.22490056391460608	0.18575259128132063	0.20346057006593155	spoor.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	1	1	1
ward.D2	0.21421830928837365	0.16724139177077113	0.1878372372688161	spoor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	1	1	1
median	0.19875288211580772	0.16774693831596524	0.1819383562978158	spoor.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	1	1	1
average	0.20250064764837128	0.16079625359779845	0.17925473837676578	spoor.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	tsne.10	2	3	2
ward.D	0.20480373794950413	0.15846797845288985	0.17868076630828747	spoor.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.50	2	1	1
complete	0.20625154503819457	0.15730018097357326	0.17848027138529907	spoor.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	tsne.20	1	1	1
complete	0.2056191170487862	0.15500873544439886	0.17676260497671067	spoor.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.20	2	3	2
ward.D	0.20551300820691035	0.15505045802017442	0.17675049768639975	spoor.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	1	3	2
ward.D2	0.2009582417019749	0.15687699321803647	0.17620246216187377	spoor.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.10	2	2	2
mcquitty	0.2005125678829339	0.15706883537130265	0.17615164115394222	spoor.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.10	1	1	1
mcquitty	0.1997473441683979	0.15639022138218783	0.17542957776276874	spoor.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	2	2	2
ward.D	0.19675324230832808	0.15647266642927632	0.17431623044083952	spoor.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	3	2	3
ward.D	0.19630623116835758	0.15402039573504347	0.17261127809244367	spoor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	5	4	4
centroid	0.1887838885336958	0.15867384934038797	0.1724242290321003	spoor.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	1	3	1
