_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
herinneren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.3015666062556956	0.1827210618706966	NA	NA	BOW	NA	bound	297	lex	10_10	1	weight	5000	5000	nav	4_4	NA	222	herinneren
herinneren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-1.4493299613077455	-0.08690325502596409	NA	NA	BOW	NA	bound	297	lex	10_10	1	weight	5000	5000	all	4_4	NA	222	herinneren
herinneren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.349736225454298	0.257886877501012	NA	NA	BOW	NA	bound	297	lex	10_10	1	weight	FOC	199	nav	4_4	NA	222	herinneren
herinneren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.3334849054800788	0.268934618616224	NA	NA	BOW	NA	bound	297	lex	10_10	1	weight	FOC	297	all	4_4	NA	222	herinneren
herinneren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.3012089782469698	-0.07613915557909556	NA	NA	BOW	NA	bound	297	lex	10_10	1	selection	5000	5000	nav	4_4	NA	222	herinneren
herinneren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-1.4794788982462097	-0.4641870968737634	NA	NA	BOW	NA	bound	297	lex	10_10	1	selection	5000	5000	all	4_4	NA	222	herinneren
herinneren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.312154936962734	-0.012671630678317298	NA	NA	BOW	NA	bound	297	lex	10_10	1	selection	FOC	199	nav	4_4	NA	222	herinneren
herinneren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.2968827564587162	0.002994140662157494	NA	NA	BOW	NA	bound	297	lex	10_10	1	selection	FOC	297	all	4_4	NA	222	herinneren
herinneren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.788419137770138	-0.4470123272899481	NA	NA	BOW	NA	bound	706	lex	10_10	1	no	5000	5000	nav	4_4	NA	239	herinneren
herinneren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-1.930760468018148	-1.2276732795440326	NA	NA	BOW	NA	bound	706	lex	10_10	1	no	5000	5000	all	4_4	NA	239	herinneren
herinneren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.7695982421414862	-0.38784569827601595	NA	NA	BOW	NA	bound	706	lex	10_10	1	no	FOC	522	nav	4_4	NA	239	herinneren
herinneren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.739015421916949	-0.37878717317606425	NA	NA	BOW	NA	bound	706	lex	10_10	1	no	FOC	706	all	4_4	NA	239	herinneren
herinneren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	1.0748793282245812	-0.05066212041892444	NA	NA	BOW	NA	bound	461	all	10_10	1	weight	5000	5000	nav	4_4	NA	240	herinneren
herinneren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	1.1289012380967718	-0.16233550359553509	NA	NA	BOW	NA	bound	461	all	10_10	1	weight	5000	5000	all	4_4	NA	240	herinneren
herinneren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.7666192637487204	-0.04197912949425236	NA	NA	BOW	NA	bound	461	all	10_10	1	weight	FOC	199	nav	4_4	NA	240	herinneren
herinneren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.7833256408559599	-0.068454893543887535	NA	NA	BOW	NA	bound	461	all	10_10	1	weight	FOC	461	all	4_4	NA	240	herinneren
herinneren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.36138727229089246	-0.30571552906738064	NA	NA	BOW	NA	bound	461	all	10_10	1	selection	5000	5000	nav	4_4	NA	240	herinneren
herinneren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.1933372888324402	-1.2041054479901085	NA	NA	BOW	NA	bound	461	all	10_10	1	selection	5000	5000	all	4_4	NA	240	herinneren
herinneren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.06517601163989142	-0.37722665150530293	NA	NA	BOW	NA	bound	461	all	10_10	1	selection	FOC	199	nav	4_4	NA	240	herinneren
herinneren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.1231736589227515	-0.3790668590747449	NA	NA	BOW	NA	bound	461	all	10_10	1	selection	FOC	461	all	4_4	NA	240	herinneren
herinneren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.05878935449347847	-1.2977402279965686	NA	NA	BOW	NA	bound	1046	all	10_10	1	no	5000	5000	nav	4_4	NA	240	herinneren
herinneren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-0.6559369505200398	-2.1392880557830485	NA	NA	BOW	NA	bound	1046	all	10_10	1	no	5000	5000	all	4_4	NA	240	herinneren
herinneren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.21026821440652896	-1.1516665917452011	NA	NA	BOW	NA	bound	1046	all	10_10	1	no	FOC	522	nav	4_4	NA	240	herinneren
herinneren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.20585731088543618	-1.1934262907794377	NA	NA	BOW	NA	bound	1046	all	10_10	1	no	FOC	1046	all	4_4	NA	240	herinneren
herinneren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.8576686999272882	0.34846795143812576	NA	NA	BOW	NA	bound	217	lex	5_5	1	weight	5000	5000	nav	4_4	NA	203	herinneren
herinneren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.9637939116178389	0.5016996489319343	NA	NA	BOW	NA	bound	217	lex	5_5	1	weight	5000	5000	all	4_4	NA	203	herinneren
herinneren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8912500823867477	0.4274698610549587	NA	NA	BOW	NA	bound	217	lex	5_5	1	weight	FOC	148	nav	4_4	NA	203	herinneren
herinneren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.8945140643600944	0.43571487685663735	NA	NA	BOW	NA	bound	217	lex	5_5	1	weight	FOC	217	all	4_4	NA	203	herinneren
herinneren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.8366524570173595	0.22986579201526144	NA	NA	BOW	NA	bound	217	lex	5_5	1	selection	5000	5000	nav	4_4	NA	203	herinneren
herinneren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.9649774313934479	0.13789505846707248	NA	NA	BOW	NA	bound	217	lex	5_5	1	selection	5000	5000	all	4_4	NA	203	herinneren
herinneren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8490219359728521	0.2982826762907961	NA	NA	BOW	NA	bound	217	lex	5_5	1	selection	FOC	148	nav	4_4	NA	203	herinneren
herinneren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.8584272883447318	0.30936160960925563	NA	NA	BOW	NA	bound	217	lex	5_5	1	selection	FOC	217	all	4_4	NA	203	herinneren
herinneren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.549919032588028	0.5281547399508794	NA	NA	BOW	NA	bound	415	lex	5_5	1	no	5000	5000	nav	4_4	NA	234	herinneren
herinneren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-1.9561342000219035	0.6221889634078195	NA	NA	BOW	NA	bound	415	lex	5_5	1	no	5000	5000	all	4_4	NA	234	herinneren
herinneren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.515267956119856	0.6045110004415959	NA	NA	BOW	NA	bound	415	lex	5_5	1	no	FOC	300	nav	4_4	NA	234	herinneren
herinneren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-1.4960347426380005	0.5892662103168341	NA	NA	BOW	NA	bound	415	lex	5_5	1	no	FOC	415	all	4_4	NA	234	herinneren
herinneren.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	1.0362119110037302	0.4029639276113113	NA	NA	BOW	NA	bound	343	all	5_5	1	weight	5000	5000	nav	4_4	NA	240	herinneren
herinneren.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	1.0722884812251574	0.37520155235439	NA	NA	BOW	NA	bound	343	all	5_5	1	weight	5000	5000	all	4_4	NA	240	herinneren
herinneren.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.8213319916413597	0.37648825242657913	NA	NA	BOW	NA	bound	343	all	5_5	1	weight	FOC	148	nav	4_4	NA	240	herinneren
herinneren.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.8099896208046585	0.3588169853289109	NA	NA	BOW	NA	bound	343	all	5_5	1	weight	FOC	343	all	4_4	NA	240	herinneren
herinneren.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.5219401588488505	0.2389759895975921	NA	NA	BOW	NA	bound	343	all	5_5	1	selection	5000	5000	nav	4_4	NA	240	herinneren
herinneren.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.5400146906372297	0.50088981383857345	NA	NA	BOW	NA	bound	343	all	5_5	1	selection	5000	5000	all	4_4	NA	240	herinneren
herinneren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.28961686454437274	0.29559198436086415	NA	NA	BOW	NA	bound	343	all	5_5	1	selection	FOC	148	nav	4_4	NA	240	herinneren
herinneren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.3244493301517333	0.2525938626875237	NA	NA	BOW	NA	bound	343	all	5_5	1	selection	FOC	343	all	4_4	NA	240	herinneren
herinneren.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.44811357121779566	-0.6931073579613934	NA	NA	BOW	NA	bound	634	all	5_5	1	no	5000	5000	nav	4_4	NA	240	herinneren
herinneren.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	-0.0672612640719958	-2.0129319936225594	NA	NA	BOW	NA	bound	634	all	5_5	1	no	5000	5000	all	4_4	NA	240	herinneren
herinneren.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.14412779569409082	-0.6459194710950112	NA	NA	BOW	NA	bound	634	all	5_5	1	no	FOC	300	nav	4_4	NA	240	herinneren
herinneren.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.1736707371819936	-0.4751233866634101	NA	NA	BOW	NA	bound	634	all	5_5	1	no	FOC	634	all	4_4	NA	240	herinneren
herinneren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.42472001630963246	0.29030252612277724	NA	NA	BOW	NA	bound	129	lex	3_3	1	weight	5000	5000	nav	4_4	NA	169	herinneren
