	file	left	right	target	token_id	type
0	parool_19991111_29	. Hij is weliswaar tegen censuur , maar zegt dat Brusselmans in zijn boek '	en flauw bezig is '	gemeen	gemeen/adj/parool_19991111_29/111	gemeen/adj
1	de_morgen_20040322_01_36	en nacht moeten ze inzetbaar zijn . Voor de bittere strijd tegen de grootste en	misdadigers uit onze samenleving zijn volharding , 100 procent vertrouwen en totale inzet vereist .	gemeenste	gemeen/adj/de_morgen_20040322_01_36/133	gemeen/adj
2	de_morgen_20040628_01_115	waar perversie troef is en drums de hartslag van de hel volgen . Ook de	afsluiter ' Surfacing ' en de waanzinnige hit ' Spit It Out ' verkenden de	gemene	gemeen/adj/de_morgen_20040628_01_115/348	gemeen/adj
3	de_morgen_20011217_01_40	News Service Helen Pearson Vaccins die niet efficiënt genoeg zijn , kunnen het ontstaan van	ziektekiemen in de hand werken . Daardoor kan al wie niet ingeënt is , in	gemenere	gemeen/adj/de_morgen_20011217_01_40/41	gemeen/adj
4	de_morgen_20010504_01_67	hamerde er steevast op dat eenzijdige Belgische maatregelen niet konden , juist omdat ze een	Europees beleid in de weg staan . Toch lijkt nu ook ons land overstag te	harmonisch	harmonisch/adj/de_morgen_20010504_01_67/197	harmonisch/adj
5	de_morgen_20010504_01_67	zodat het voor onze rundveehouders onmogelijk wordt om te concurreren . We zijn voor een	Europees beleid , maar in de gegeven situatie kunnen we niet anders dan de andere	harmonisch	harmonisch/adj/de_morgen_20010504_01_67/256	harmonisch/adj
6	volkskrant_19990223_9	Maar in het vijfstemmige Stabat mater en het vierstemmige Gloria spreekt Poulenc ook heel andere	krachten aan . Ook hier kunnen dissonanten schrijnen of schokeffecten teweegbrengen , maar bovenal kleurt	harmonische	harmonisch/adj/volkskrant_19990223_9/421	harmonisch/adj
7	het_laatste_nieuws_20020427_01_647	werelden . andquot; Met de Ronde van Vlaanderen heeft de Amstel het draaien en keren	, zijn korte hellingen ook . Gelijkaardig met Luik-Bastenaken-Luik is er het goedlopende geasfalteerde parkoers	gemeen	gemeen/adj/het_laatste_nieuws_20020427_01_647/301	gemeen/adj
8	nrc_handelsblad_20000529_35	los was gegaan . De nieuwe nagel groeide in zijn teen en dat is een	blessure . Het was zo pijnlijk dat we hebben besloten Davids meteen te laten behandelen	gemene	gemeen/adj/nrc_handelsblad_20000529_35/149	gemeen/adj
9	de_morgen_20020427_01_90	was het enige taboe , dat was des duivels . Mijn moeder vooral vond dat	. Je moest ervoor zorgen dat je financieel onafhankelijk was . Mijn vader herhaalde vaak	gemeen	gemeen/adj/de_morgen_20020427_01_90/489	gemeen/adj
10	het_laatste_nieuws_20010818_01_588	eens met vriendinnetje Simone Abdelnour topless op het dek , dan weer met twee andere	creaturen , al even schaars gekleed , en zonder mooie Simone in de buurt .	hemelse	hemels/adj/het_laatste_nieuws_20010818_01_588/311	hemels/adj
11	de_morgen_20030625_01_67	zuiden van Irak controleren . Daar woont de sjiitische bevolking , die Saddam niet echt	is . Volgens militaire experts zullen de Britse troepen in Irak door de incidenten van	genegen	genegen/adj/de_morgen_20030625_01_67/378	genegen/adj
12	parool_20020128_94	de harp en een handvol strijkers die in fluisterzachte eensgezindheid het oor strelen en de	richting aangeven . Vervolgens stuurt Henze het orkest gewiekst langs een parcours waarin de verstilling	harmonische	harmonisch/adj/parool_20020128_94/172	harmonisch/adj
13	volkskrant_20040408_92	God geeft , wordt alleen Abel , die slechts een snoepwikkel neerlegt , beloond met	geluiden . De Alwetende - ' Relax man , het was maar een geintje '	hemelse	hemels/adj/volkskrant_20040408_92/35	hemels/adj
14	algemeen_dagblad_20001111_108	kijkt treurig bij de beelden . Hij mag als eerste commentaar geven . Een beetje	", want het filmpje werd opgenomen in Amsterdam . 	 Er moet wel iets gebeuren"	gemeen	gemeen/adj/algemeen_dagblad_20001111_108/158	gemeen/adj
15	volkskrant_20000412_78	dan opschrijven dat ik nog een leuke , rijke jongen zoek ? Eentje met een	lichaam , niet rokend en veel sportend , liefst een timmerman .	goddelijk	goddelijk/adj/volkskrant_20000412_78/933	goddelijk/adj
16	volkskrant_20011013_165	we bij een grote koker waarin water borrelt . Hier wordt het zogenaamd gezuiverd van	grijnzende figuurtjes - met een druk op een knop worden ze zichtbaar - die bacteriën	gemeen	gemeen/adj/volkskrant_20011013_165/225	gemeen/adj
17	de_morgen_19990202_01_20	middelen worden vrijgemaakt om tijdig en kritisch te reageren op initiatieven die gelijke kansen niet	zouden zijn , op Belgisch niveau de omgekeerde richting wordt ingeslagen . Federale overheidMyriam Van	genegen	genegen/adj/de_morgen_19990202_01_20/813	genegen/adj
18	het_nieuwsblad_20010820_01_286	de meest diverse mensen over de vloer . De bijengilde , de kunstkring van het	Best , Esperantosprekers , filosofiegroepen . Tientallen kunstenaars uit de vier windstreken hebben hier geëxposeerd	Gemene	gemeen/adj/het_nieuwsblad_20010820_01_286/174	gemeen/adj
19	de_standaard_19990222_01_82	van de goden . De toeschouwer stapt in een andere wereld wanneer hij van de	gewaden overstapt naar de gestileerde foto's van de magiër des lichts Horst P. Horst .	hemelse	hemels/adj/de_standaard_19990222_01_82/227	hemels/adj
20	de_standaard_19990222_01_82	beredeneerd . De modefotograaf cijfert zichzelf weg , kleding dringt zich niet op en versmelt	met het model . Het licht , als een zijden sluier over het fotopapier gedrapeerd	harmonisch	harmonisch/adj/de_standaard_19990222_01_82/324	harmonisch/adj
21	de_standaard_20021029_01_1	van voorzitter Valéry Giscard d'Estaing . Over het Volkscongres , een idee dat Giscard zeer	"is , was Fischer vrij positief in zijn 	 maidenspeech 	 . 	 Het is"	genegen	genegen/adj/de_standaard_20021029_01_1/67	genegen/adj
22	nrc_handelsblad_20010309_46	je niets te leren . Het is een film die voortdurend uitgaat van de grootste	deler . Tegelijkertijd hoeven mensen met een ontwikkelde smaak zich er niet voor te schamen	gemene	gemeen/adj/nrc_handelsblad_20010309_46/360	gemeen/adj
23	algemeen_dagblad_20031029_42	"kreeg 500 euro uitgekeerd , terwijl ze bijna 6000 euro had geïnvesteerd . 	 Het"	"is dat ze mensen misleid hebben die er geen verstand van hadden . 	 In"	gemene	gemeen/adj/algemeen_dagblad_20031029_42/17	gemeen/adj
24	de_standaard_20000529_01_50	In België zijn dat Marc Wilmots en de broers Emile en Mbo Mpenza , drie	duivels die voetbal verheffen tot een puur spektakel , aldus het licht euforische perscommuniqué .	hemelse	hemels/adj/de_standaard_20000529_01_50/58	hemels/adj
25	de_morgen_19991224_01_122	geliefden moet achterlaten , dan mis je hen ' Virginie bidt elke dag om een	verklaring voor de ellendige reeks verkrachtingen die ze onderging , Paul kan niet goed schrijven	goddelijke	goddelijk/adj/de_morgen_19991224_01_122/57	goddelijk/adj
26	de_morgen_19991224_01_122	al twee jaar lang patiënt . Ze bidt en bidt , op zoek naar een	verklaring voor haar ellende . Soms praten we , soms zwijgen we . Vaak kan	goddelijke	goddelijk/adj/de_morgen_19991224_01_122/3131	goddelijk/adj
27	nrc_handelsblad_20001113_76	gefuseerd . Twee vrouwen , niet de actiefste en nuttigste in de gemeenschap , hebben	zaak gemaakt met een man en spraken zelfs af om de sportieve en slimme Eva	gemene	gemeen/adj/nrc_handelsblad_20001113_76/550	gemeen/adj
28	nrc_handelsblad_20001118_53	"stapelen 	 , luidt het excuus . Schalken beschikt nu eenmaal niet over het 	"	"lichaam 	 van zijn collega Paul Haarhuis , zoals hij ooit grinnikend constateerde . Zijn"	goddelijke	goddelijk/adj/nrc_handelsblad_20001118_53/161	goddelijk/adj
