measure	globqual	meanclassqual	classqual_huldigen_1	classqual_huldigen_2	model	technique
DR	1.7639403386019694	1.781572302587885	1.739812387884401	1.8233322172913689	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.36747836368714876	0.3733381426630209	0.3594597187727974	0.3872165665532444	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.8825502070741816	0.8641718828667382	0.9076994928317357	0.8206442729017407	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.8799191919191919	0.8581031468531468	0.9097727272727273	0.8064335664335665	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.766762749240905	1.7812094823748268	1.7469935354786965	1.8154254292709568	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.36751764026794154	0.3707448207274635	0.3631014985864904	0.3783881428684367	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.8502368553753186	0.8131179272936797	0.9010311780133505	0.725204676574009	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.8595555555555555	0.8310795454545454	0.8985227272727273	0.7636363636363637	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.7594366442706542	1.7792568265922202	1.7323142895148267	1.8261993636696137	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.38086300415278496	0.3821078300668337	0.3791595581651394	0.3850561019685279	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.9007594314132185	0.8766516152648665	0.9337490745635949	0.8195541559661379	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.8935757575757576	0.8671241258741259	0.9297727272727273	0.8044755244755245	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.5703928673997303	1.4962676518016393	1.6718273729550124	1.3207079306482665	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.3109705351278202	0.2749243338617132	0.360296915807756	0.18955175191567047	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.8351165747786787	0.7757915655627312	0.9162981663373435	0.635284964788119	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.8362828282828283	0.7920454545454545	0.8968181818181818	0.6872727272727273	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.7138739079879155	1.7192984659474257	1.7064508286749018	1.7321461032199497	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.3503984802665366	0.3535246087936613	0.3461206201767869	0.36092859741053573	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.8587038135912526	0.8320525470544711	0.89517396779948	0.7689311263094623	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.8591515151515151	0.8274737762237763	0.9025	0.7524475524475525	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.6962580562797724	1.6917105077279684	1.7024810174559255	1.6809399980000113	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.3472509420846927	0.34599342165463587	0.34897175951529674	0.34301508379397505	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.8728947758006323	0.8406764871409471	0.9169829602823067	0.7643700139995875	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.8627878787878788	0.8313592657342657	0.9057954545454545	0.7569230769230769	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.6472543631443062	1.6537952740735005	1.6383036429254088	1.669286905221592	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.34345002845658323	0.34185666360903305	0.34563042245849396	0.33808290475957214	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP	0.8986985541072423	0.87089508183034	0.936745410907214	0.805044752753466	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN	0.8844444444444445	0.8524825174825175	0.9281818181818182	0.7767832167832168	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.466403599952494	1.3769671613569785	1.5887903053989887	1.1651440173149685	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	0.26259464114115605	0.21429425649828387	0.3286899043366653	0.0998986086599025	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP	0.7891584668828271	0.7451351360375096	0.8494009196185247	0.6408693524564943	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN	0.7964444444444444	0.7476748251748251	0.8631818181818182	0.6321678321678321	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.6989828801838887	1.7558890318184046	1.6207369216864296	1.8910411419503796	huldigen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.340102010425566	0.360579982951226	0.31194479820278354	0.4092151676996685	huldigen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP	0.8602362426783243	0.8289315472564307	0.9032801988834283	0.7545828956294331	huldigen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN	0.8695374800637958	0.8373431282522192	0.9138047138047138	0.7608815426997245	huldigen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.6566367786497356	1.715825440103151	1.5752523691512894	1.8563985110550123	huldigen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.32530353921947786	0.34783047748724955	0.29432899910129173	0.40133195587320736	huldigen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP	0.858794822365847	0.8276782095327	0.9015801650114244	0.7537762540539756	huldigen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN	0.8569377990430622	0.8239873482297725	0.9022446689113356	0.7457300275482094	huldigen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	1.6427477196680245	1.6717184866664734	1.602912915045157	1.7405240582877897	huldigen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	0.34065913126279346	0.35071687410313146	0.32682973485732864	0.37460401334893434	huldigen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP	0.881140037030321	0.8514611220722548	0.921948545097662	0.7809736990468474	huldigen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN	0.8925837320574163	0.8666207529843893	0.9282828282828283	0.8049586776859504	huldigen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.426835919337014	1.3697416149399257	1.50534058788301	1.2341426419968415	huldigen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	0.24624372400684824	0.21685747592278048	0.2866498151224414	0.14706513672311955	huldigen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SCP	0.751221859386551	0.6979652958933079	0.82444963418976	0.5714809575968558	huldigen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
kNN	0.7784688995215311	0.726650341801857	0.8497194163860831	0.6035812672176308	huldigen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
DR	1.6498855408327142	1.763888181637707	1.4961741150282295	2.0316022482471845	huldigen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.3148637913636849	0.35353224822980284	0.2627265461509416	0.4443379503086641	huldigen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
