measure	globqual	meanclassqual	classqual_both	classqual_haten_1	classqual_haten_2	model	technique
DR	1.1107296700555094	1.058210651260238	0.9273202917170345	1.0866794408439608	1.160632221219719	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.01261847287767111	-0.046283888919153825	-0.19354637881918912	-0.008332474603260783	0.06302718666498842	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.4851816572492335	0.3593509760360159	0.04240538566603434	0.47103766362470156	0.5646098788173118	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.524092947411333	0.4070301614273577	0.11022727272727272	0.5361818181818182	0.5746813933729822	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.1490866443801913	1.0887677349394425	0.9379602222213167	1.12767728523408	1.2006656973629306	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.02109286947292047	-0.044350267703520234	-0.20886738382557823	0.009540871833765506	0.06627570888125202	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.49725046209945717	0.36611793991738484	0.03340293734143195	0.5139054810330405	0.5510454013776821	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.5361598043212393	0.39295298782214666	0.029545454545454545	0.5550909090909091	0.5942225998300764	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.144573939468002	1.090402172253863	0.9520739393764647	1.1629114726953336	1.156221104689791	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.018850124089727374	-0.04474347321621636	-0.20475164250538677	0.009452413367934185	0.06106880948880349	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.5231412137916246	0.38618430672358156	0.04161452269088497	0.5025357454095531	0.6144026520703065	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.5557276803913576	0.4247268479184367	0.09431818181818181	0.5467272727272727	0.6331350892098555	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.092373097297143	1.0704264665171421	1.0132076131240033	1.1151146086364836	1.0829571777909393	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.00598423728829586	-0.03768659099281931	-0.11630285149089219	-0.025621615390547577	0.02886469390298183	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.47392940303596504	0.3526546467172931	0.04753865291714727	0.45569532911006766	0.5547299581246643	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.5101508357113738	0.3963007646559048	0.10909090909090909	0.503090909090909	0.5767204757858964	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.117762504737617	1.0832542064688602	0.9956962427142013	1.122171947574744	1.1318944291176352	haten.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.0027569735389528782	-0.0348291755350217	-0.12814735572077107	-0.01908015361975555	0.042739982735461535	haten.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.48751113756590003	0.36619767753127724	0.05569421717938627	0.5380424352885911	0.5048563801258543	haten.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.5417855686913983	0.4228302180685358	0.11931818181818181	0.5789090909090909	0.5702633814783348	haten.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.1305574295401906	1.0866703676603642	0.9791597520841904	1.0861919702647276	1.1946593806321746	haten.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.017394367584688857	-0.035446249392794844	-0.16471373036120457	-0.03832008051473476	0.0966950626975548	haten.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
