measure	globqual	meanclassqual	classqual_hemels_1	classqual_hemels_2	model	technique
DR	1.0464294549774322	1.0398756016401338	0.9835124629393676	1.0962387403409	hemels.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.02899594172512066	0.023494259037327634	-0.023820212077692353	0.07080873015234762	hemels.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.42494144617312063	0.4163810492335635	0.3427616355533723	0.4900004629137547	hemels.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.49682875264270615	0.48863636363636365	0.41818181818181815	0.5590909090909091	hemels.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	0.9991653629561931	0.9908352578968816	0.9191963543868038	1.0624741614069595	hemels.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	-0.0051131582690660685	-0.012997584034079617	-0.08080364561319615	0.05480847754503692	hemels.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.4312618879216739	0.42527380667258585	0.373776307930428	0.47677130541474366	hemels.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.5095137420718816	0.5011961722488039	0.4296650717703349	0.5727272727272728	hemels.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.072254808143573	1.067047654219382	1.02226613047134	1.111829177967424	hemels.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.0488273958776629	0.04448716038582843	0.007161135156051943	0.08181318561560491	hemels.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.5407807782097106	0.5314092086893921	0.4508137108146533	0.6120047065641309	hemels.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.5471458773784355	0.5390948963317383	0.46985645933014353	0.6083333333333333	hemels.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.0051733392791826	0.9912141106523039	0.8711647444611468	1.111263476843461	hemels.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.002897987039377967	-0.016016452508073306	-0.1288352555388532	0.09680235052270658	hemels.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.4613797951228403	0.4449865836155938	0.30400496465327376	0.5859682025779138	hemels.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.4858350951374207	0.4714114832535885	0.34736842105263155	0.5954545454545455	hemels.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.079525306265106	1.0691223623162356	0.9796570443559481	1.158587680276523	hemels.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.05198533697753621	0.04361419685143583	-0.02837760823302742	0.11560600193589908	hemels.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.4631693447419815	0.4546778830328282	0.38165131233410954	0.5277044537315468	hemels.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.5408033826638478	0.530622009569378	0.44306220095693777	0.6181818181818182	hemels.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.131068026683659	1.1253445036121097	1.0761222051967856	1.1745668020274338	hemels.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.08612206948192908	0.08224586663783973	0.048910522178671346	0.11558121109700811	hemels.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.5619363215874598	0.5474193967970868	0.42257384359987926	0.6722649499942943	hemels.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.5780126849894291	0.5691387559808612	0.492822966507177	0.6454545454545454	hemels.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.0401059349108948	1.0291692620476547	0.935113875423789	1.1232246486715203	hemels.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.022898578032980045	0.013487339435971961	-0.06744931249829758	0.0944239913702415	hemels.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP	0.5056310760658652	0.49390714824758086	0.393081369010335	0.5947329274848266	hemels.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN	0.5014799154334038	0.49041068580542263	0.3952153110047847	0.5856060606060606	hemels.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.0222791755230671	1.005128659939845	0.8576342259241345	1.1526230939555555	hemels.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	0.00784572153871525	-0.007801309254470243	-0.1423657740758655	0.12676315556692502	hemels.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP	0.4997335206946191	0.48056113691624014	0.31567863642218025	0.6454436374103	hemels.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN	0.5217758985200845	0.5064992025518341	0.37511961722488035	0.6378787878787878	hemels.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.0277837156197465	1.018170827995986	0.9028161765108597	1.1335254794811123	hemels.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.01317527786418484	0.004667552348512481	-0.09742515383955579	0.10676025853658075	hemels.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP	0.4281329396399104	0.41902365760093424	0.3097122731332208	0.5283350420686477	hemels.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN	0.48522727272727273	0.4770184361093452	0.3785123966942149	0.5755244755244755	hemels.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.0658706183038793	1.0593670774695036	0.9813245874569952	1.137409567482012	hemels.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.04034775550010247	0.035247347059378396	-0.025957554229310422	0.09645224834806722	hemels.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP	0.4473084914872419	0.43952454939040786	0.3461172442283988	0.5329318545524169	hemels.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN	0.4871212121212121	0.4814367450731087	0.4132231404958677	0.5496503496503496	hemels.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	1.056755941991927	1.0450164880463015	0.904143040698798	1.1858899353938053	hemels.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	0.03238365224451363	0.02236950444030912	-0.09780026921014501	0.14253927809076325	hemels.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP	0.4897135440771145	0.4793779197330511	0.3553504276042908	0.6034054118618114	hemels.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN	0.5162878787878787	0.509504132231405	0.428099173553719	0.5909090909090909	hemels.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.0435501348387406	1.0305587776873981	0.8746624918712872	1.186455063503509	hemels.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
