measure	globqual	meanclassqual	classqual_hoopvol_2	classqual_hoopvol_1	model	technique
DR	1.1219998946971557	1.1155396299301596	1.094208567020268	1.1368706928400516	hoopvol.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SIL	0.08156053305575334	0.07513371161425929	0.053913074779137406	0.09635434844938116	hoopvol.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.6364834801660186	0.5964877210801761	0.464426252400507	0.7285491897598452	hoopvol.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.6587012987012987	0.621498418176589	0.49865871833084946	0.7443381180223285	hoopvol.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.1215604859965018	1.1450128805264084	1.2224500322760996	1.0675757287767171	hoopvol.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SIL	0.07170188645959272	0.0875062619774255	0.13969052076272245	0.03532200319212855	hoopvol.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SCP	0.6232827750637961	0.58869036567275	0.47447014598533327	0.7029105853601667	hoopvol.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
kNN	0.6690909090909091	0.6363322613538316	0.528166915052161	0.7444976076555023	hoopvol.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
DR	1.1214276423767278	1.1367342119729704	1.1872747719605636	1.086193651985377	hoopvol.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SIL	0.07233462834293662	0.08425086308186547	0.12359692118210223	0.044904804981628715	hoopvol.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SCP	0.6092182498057297	0.5656889898022104	0.4219603011113445	0.7094176784930761	hoopvol.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
kNN	0.6508051948051948	0.6165463957957487	0.5034277198211624	0.7296650717703349	hoopvol.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
DR	1.060624528659408	1.0838581189282546	1.1605728037782188	1.00714343407829	hoopvol.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
SIL	0.037363384504844395	0.05544787519133414	0.11516081613729083	-0.004265065754622558	hoopvol.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
