measure	globqual	meanclassqual	classqual_goedkoop_2	classqual_goedkoop_1	classqual_goedkoop_4	model	technique
DR	1.1240239187933752	1.2214744574499465	1.075601475156304	1.106675825478446	1.4821460717150898	goedkoop.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SIL	-0.03091557820676012	0.018001859289607992	-0.1457643471752429	-0.032581674300091214	0.23235159934415808	goedkoop.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.7686321444206289	0.4550504298506846	0.4351357798531521	0.8625134553771429	0.06750205432175883	goedkoop.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.779555208739758	0.4768303020461915	0.44915824915824915	0.8708431464908148	0.11048951048951049	goedkoop.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.0941621322713708	1.108185268000948	1.0277797439120597	1.0962868608467977	1.2004891992439866	goedkoop.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SIL	-0.06778935218169992	-0.0068410698849862535	-0.06142260765593185	-0.08149000458688094	0.12238940258785402	goedkoop.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SCP	0.7441510926978735	0.4293390952200299	0.403603262043611	0.8388474123134044	0.04556661130307421	goedkoop.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
kNN	0.7752633632461958	0.46070778195130524	0.4444444444444444	0.8691474328780028	0.06853146853146853	goedkoop.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
DR	1.1108231637301065	1.292149629211525	1.1726703277592898	1.0667254278957516	1.6370531319795338	goedkoop.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SIL	-0.070338520751906	0.06751257393148767	-0.016918731606829093	-0.10436113042236948	0.3238175838236616	goedkoop.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SCP	0.7707884132520997	0.45762699484601654	0.42260765187557375	0.8657207797915919	0.08455255287088395	goedkoop.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
kNN	0.7790089738587592	0.48467698105003804	0.45454545454545453	0.8680169571361281	0.13146853146853146	goedkoop.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
DR	1.1287564207390806	1.190925914484473	0.978688118397684	1.1269583428319099	1.4671312822238254	goedkoop.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
SIL	-0.08226796243742682	0.018257034793268335	-0.10532506702262684	-0.10225504814745076	0.2623512195498826	goedkoop.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
SCP	0.7049766290888072	0.34087725647798844	0.1342866022952585	0.8282518285717606	0.06009333856694619	goedkoop.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
kNN	0.7454545454545455	0.41773252654081666	0.3090909090909091	0.8504003768252473	0.0937062937062937	goedkoop.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
DR	1.1097889672387165	1.2190318477201079	1.1126915455306208	1.085893920378378	1.458510077251325	goedkoop.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
SIL	-0.09588505938549377	0.03479920754434498	0.0031847982746654457	-0.13190541726052676	0.23311824161889624	goedkoop.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.7429186356556042	0.42870111984392734	0.38553982958749283	0.838795226775654	0.061768303168635165	goedkoop.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.7721420210690597	0.47186778551199965	0.44377104377104376	0.8627414036740462	0.10909090909090909	goedkoop.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
