measure	globqual	meanclassqual	classqual_hachelijk_2	classqual_hachelijk_1	model	technique
DR	1.0846361008212473	1.0792977194749218	1.113615885272728	1.0449795536771158	hachelijk.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.05301121080563628	0.04911227349267797	0.07417687050455278	0.02404767648080317	hachelijk.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.5000893989374365	0.48313531428349255	0.5921258584874183	0.37414477007956676	hachelijk.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.5838383838383838	0.5678505704821495	0.6706293706293707	0.4650717703349282	hachelijk.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.173380315714636	1.1661924831491064	1.212399978213225	1.1199849880849877	hachelijk.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.10248217767877664	0.09900306010859108	0.12136881591692673	0.07663730430025543	hachelijk.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.5181553872627077	0.5020988548544608	0.6053194203360482	0.39887828937287334	hachelijk.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.5688888888888889	0.5551711446448289	0.6433566433566433	0.46698564593301434	hachelijk.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.2633904161936962	1.2575310471184125	1.2951984197452358	1.2198636744915892	hachelijk.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.16017807960120894	0.15803073436330362	0.1718350966069806	0.14422637211962663	hachelijk.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.5525810716808512	0.5303812278129671	0.6730945098207939	0.3876679458051403	hachelijk.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.6262626262626263	0.6137099742362899	0.6944055944055944	0.5330143540669856	hachelijk.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.1317420768401263	1.1332143407677409	1.1237497869473605	1.1426788945881212	hachelijk.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.08803125043284303	0.08893484355489333	0.08312603062742713	0.09474365648235952	hachelijk.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.5558381525852892	0.5415281852074083	0.633520832636643	0.44953553777817357	hachelijk.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.6278787878787878	0.6135627530364371	0.7055944055944056	0.5215311004784688	hachelijk.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.0577748870655908	1.0480404991354229	1.1106187072579312	0.9854622910129146	hachelijk.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.03607196662033646	0.028032361121689914	0.07971553932727483	-0.02365081708389501	hachelijk.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.47071401107679367	0.4563944734220662	0.5484486440595997	0.3643403027845327	hachelijk.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.538989898989899	0.5245307324254693	0.6174825174825175	0.43157894736842106	hachelijk.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.1614559725685956	1.15256522931951	1.2097200073493461	1.0954104512896738	hachelijk.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.09664167753589864	0.09181684148046743	0.12283364469395376	0.060800038266981084	hachelijk.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.5144736993584452	0.49817735022137055	0.6029395946739939	0.39341510576874716	hachelijk.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.5834343434343434	0.5700772911299227	0.6559440559440559	0.4842105263157895	hachelijk.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.2161531534571335	1.2101495004971952	1.2487444123825129	1.1715545886118777	hachelijk.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.13374430006746277	0.13082563742752878	0.14958846868424736	0.11206280617081019	hachelijk.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP	0.5745594213797117	0.5493459445215374	0.7114325814669437	0.3872593075761311	hachelijk.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN	0.6012121212121212	0.5880382775119617	0.6727272727272727	0.5033492822966507	hachelijk.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.0497873590118212	1.0467895469592325	1.0660611958687316	1.0275178980497333	hachelijk.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	0.032410345381825634	0.029808528570071283	0.04653449378849208	0.013082563351650485	hachelijk.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP	0.49952561678343504	0.4876585685399133	0.563946735819696	0.4113704012601305	hachelijk.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN	0.543030303030303	0.5266102318733897	0.6321678321678321	0.42105263157894735	hachelijk.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.0402773054511927	1.0375132502949989	1.1149067946684281	0.9601197059215697	hachelijk.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.024563123792104846	0.022118334687126307	0.09057242962652541	-0.0463357602522728	hachelijk.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP	0.49640711293858125	0.4943865146048777	0.5509632679485758	0.4378097612611797	hachelijk.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN	0.5347402597402597	0.5322303494717288	0.6025078369905956	0.46195286195286195	hachelijk.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.0880265073940478	1.0861783203432593	1.1379275577653352	1.0344290829211837	hachelijk.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.054153643953977544	0.05282066264481225	0.0901441393014406	0.015497185988183896	hachelijk.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP	0.46924799185709903	0.4675875122135279	0.514080942233519	0.4210940821935368	hachelijk.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN	0.5116883116883116	0.5100893997445721	0.554858934169279	0.4653198653198653	hachelijk.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	1.1153085605674038	1.11233510086067	1.195591972649226	1.0290782290721137	hachelijk.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	0.07430858393472561	0.07202070448726786	0.13608132901608513	0.007960079958450588	hachelijk.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP	0.5777408158945201	0.575358651961778	0.6420592420785562	0.5086580618449998	hachelijk.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN	0.5876623376623377	0.5862068965517241	0.6269592476489028	0.5454545454545454	hachelijk.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.0739001885636392	1.0742532641884632	1.0643671466933937	1.0841393816835327	hachelijk.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	0.05181581238159073	0.052052083934843826	0.045436480443757025	0.05866768742593063	hachelijk.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SCP	0.5828166529565353	0.5838055966699439	0.556115172694503	0.6114960206453849	hachelijk.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
kNN	0.5938311688311688	0.5931615000580517	0.6119122257053291	0.5744107744107744	hachelijk.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
DR	1.1307845727556507	1.1307845727556507	1.2633264618295803	0.9982426836817211	hachelijk.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.07588870046170584	0.07588870046170584	0.17870795881026466	-0.026930557886852984	hachelijk.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP	0.4527381561810938	0.4527381561810938	0.5461949048469311	0.3592814075152565	hachelijk.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds
