measure	globqual	meanclassqual	classqual_gemeen_3	classqual_gemeen_1	classqual_gemeen_4	model	classqual_gemeen_5	technique
DR	1.6590476776767789	1.5340339959392284	1.3748750603378344	1.4024954017821312	1.8247315256977195	gemeen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	NA	tsne.30
SIL	0.11192144799473527	0.08707224878775711	0.01632487446324424	0.14175560531271417	0.10313626658731294	gemeen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	NA	tsne.30
SCP	0.7863803715123958	0.5566937081976446	0.03798304064218428	0.782683211269596	0.8494148726811537	gemeen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	NA	tsne.30
kNN	0.8020567667626491	0.6216467707376798	0.21322314049586777	0.8012121212121213	0.8505050505050505	gemeen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	NA	tsne.30
DR	1.64392831525848	1.4634450273491313	1.272979427907752	1.1922938223952135	1.9250618317444284	gemeen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	NA	tsne.30
SIL	0.05651969283291846	0.02548893808977567	-0.021304589950096247	0.007898949401601674	0.08987245481782158	gemeen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	NA	tsne.30
SCP	0.7800205944076503	0.5529321380165738	0.03080212402283315	0.7955583525631729	0.8324359374637155	gemeen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	NA	tsne.30
kNN	0.7958864664747017	0.6312939495969798	0.256198347107438	0.8002424242424242	0.8374410774410774	gemeen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	NA	tsne.30
DR	1.6972299548002103	1.5196288552128354	1.2452701696317303	1.432472755266955	1.881143640739821	gemeen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	NA	tsne.30
SIL	0.09660614494692808	0.058229114237135574	-0.056158784176847436	0.1532753745116314	0.07757075237662277	gemeen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	NA	tsne.30
