type	token_id	sense	confidence	annotator	annotations	annotators	agree_nr	agree_fct	left	target	right	comment	geen_reason	my_comment	comment_2	sense_2
haken	haak/verb/het_nieuwsblad_20010507_01_83/52	geen	5	17_1	2	3	0.33	minority	maakt zeker de rekening niet van Baasrode dat de overwinningen rustig verder aan mekaar blijft	haken	. Buizingen had een minder goed weekeinde achter de rug , maar nieuwkomer Kastel geraakte	weinig context	context	NA	NA	unclear
haken	haak/verb/het_nieuwsblad_20041029_01_189/81	geen	3	17_1	2	3	0.67	majority	race te organiseren door de strenge milieuwetgeving en de financiële en andere problemen . Zo	haakten	dit jaar Tienen ( club zag het niet meer zitten ) en Sint-Truiden ( geen	weinig context	context	NA	NA	unclear
haken	haak/verb/het_nieuwsblad_20041029_01_189/81	haken_4	1	17_3	2	3	0.33	minority	race te organiseren door de strenge milieuwetgeving en de financiële en andere problemen . Zo	haakten	dit jaar Tienen ( club zag het niet meer zitten ) en Sint-Truiden ( geen	Niet genoeg context	context	NA	NA	haken_4
haken	haak/verb/parool_19990113_57/104	geen	3	11_1	2	3	0.67	majority	op 1 januari 2002 , wanneer de euromunten en -biljetten worden uitgegeven , aan te	haken	. ' Het toenaderingsprogramma ' voor de euro moet het premier Tony Blair mogelijk maken	Er is te weinig context gegeven.	context	NA	NA	unclear
haken	haak/verb/parool_19990113_57/104	geen	5	11_3	2	3	0.67	majority	op 1 januari 2002 , wanneer de euromunten en -biljetten worden uitgegeven , aan te	haken	. ' Het toenaderingsprogramma ' voor de euro moet het premier Tony Blair mogelijk maken	te weinig context	context	NA	NA	unclear
haten	haat/verb/de_standaard_20030113_01_3/467	geen	3	20_3	2	3	0.33	minority	zou werken , had ik ze nooit leren kennen . Dan had ik ze waarschijnlijk	gehaat	". 	 Naast het financiële centrum van de Arabische wereld is Dubai ook de populairste"	niet genoeg context	context	NA	NA	unclear
haten	haat/verb/de_standaard_20030113_01_3/467	haten_1	3	20_2	2	3	0.67	majority	zou werken , had ik ze nooit leren kennen . Dan had ik ze waarschijnlijk	gehaat	". 	 Naast het financiële centrum van de Arabische wereld is Dubai ook de populairste"	weinig context	context	NA	NA	haten_1
haten	haat/verb/het_nieuwsblad_20001227_01_490/360	geen	1	20_2	2	3	0.33	minority	kunnen ze wel vertrouwen . Aan de andere kant : toen Self esteem uitkwam ,	haatten	ze dat allemaal . En ook bij Pretty fly ( for a white guy )	te weinig context	context	NA	NA	unclear
haten	haat/verb/nrc_handelsblad_20001006_75/916	geen	3	7_1	3	3	0.33	none	vrienden , dat is eigenlijk alles . Het gaat om de details : de geitenhoeder	haat	zijn geiten ; de enge New Age-vriendinnen van Wendy proberen de omgeving in hoger sferen	onduidelijke context	context	NA	NA	unclear
haten	haat/verb/nrc_handelsblad_20020907_104/653	geen	2	7_1	2	3	0.33	minority	niet gezet . In plaats van zich af te vragen ` waarom men ons zo	haat	' , hadden ze moeten nagaan waarom men ons niet alleen maar positief ziet .	niet genoeg context	context	NA	NA	unclear
haten	haat/verb/nrc_handelsblad_20030815_60/369	geen	1	7_1	2	3	0.33	minority	De mensen hier lezen niet , ze begrijpen niet wat ik hier doe , ze	haten	ons	onduidelijke context	context	NA	NA	unclear
haten	haat/verb/volkskrant_20010419_131/461	geen	0	9_2	2	3	0.67	majority	op een haar na failliet was , heeft omgebouwd tot een bloeiend vastgoedfonds . En	haat	omdat nu blijkt dat hij daar vooral zijn eigen portemonnee mee vult . De meeste	tekort aan context	context	NA	NA	unclear
hachelijk	hachelijk/adj/de_standaard_20010117_01_18/193	geen	1	10_3	2	3	0.33	minority	zou hanteren , bleef zijn zoon in de cel . Het hele verhaal demonstreert de	hachelijke	toestand waarin de Congolese regering zich bevindt in deze tijden van oorlog . Ze moet	Niet genoeg context	context	NA	NA	unclear
hachelijk	hachelijk/adj/volkskrant_19990413_100/131	geen	1	4_1	2	3	0.33	minority	op uit de hele Albanese bevolkingsgroep uit te roeien . De juiste definitie is een	hachelijke	zaak , maar twee elementen lijken onmisbaar : ten eerste moet er sprake zijn van	Te weinig context.	context	NA	NA	unclear
hachelijk	hachelijk/adj/volkskrant_20031204_74/165	geen	4	13_2	2	3	0.33	minority	de 17e eeuw . Van Dorssen vermoedt dat de kunsttransporteurs zelf een ander moment als	hachelijk	zullen ervaren . Als de met de hand voortbewogen , vijf meter lange kar met	niet genoeg context	context	NA	NA	unclear
harden	hard/verb/algemeen_dagblad_20020730_64/524	geen	2	11_2	1	3	1	full	die grote vormen begint aan te nemen . Hardt voor Maluku heet het initiatief .	Hard	met een d , vanwege het enorme leed op de Molukken . En Hart met	Te weinig context	context	NA	NA	unclear
harden	hard/verb/de_standaard_20000714_01_42/454	geen	3	7_1	2	3	0.33	minority	is onze V-Max al evenmin spoorvast en de rijwind is er nog minder op te	harden	dan op de XJR . Heeft de V-Max dan afgedaan ? Ach neen , anders	Onduidelijke context	context	NA	NA	unclear
harden	hard/verb/het_nieuwsblad_20010201_01_712/162	geen	1	12_1	2	3	0.33	minority	"ontdekt . 	 . Omdat de meeste van die filmjuweeltjes in hun geheel amper te"	harden	"zijn , selecteerde Verheyen er de meest trashy en hallucinante fragmenten uit . 	 In"	niet genoeg context	context	NA	NA	unclear
harden	hard/verb/volkskrant_20010317_191/190	geen	5	17_1	2	3	0.33	minority	open te leggen . Langza mer hand - en daarom is Neder land weer te	harden	- is ook hier ' de beleving ' belangrijker geworden dan de werkelijkheid . Heer	vage context	context	NA	NA	unclear
harden	hard/verb/volkskrant_20010723_79/284	geen	5	17_1	2	3	0.33	minority	liggen . Op de bank zit weliswaar genoeg talent , maar dat is alleen nationaal	gehard	. Dat scheelt veel met de internationale maatstaf . ' Daarom ben ik zo blij	vage context	context	NA	NA	unclear
heet	heet/adj/de_morgen_20010529_01_191/191	geen	0	18_1	3	3	0.33	none	". 	 Eind dit jaar , in het putje van de winter , zou het"	hete	en harde blad van Fleur voor het eerst in de winkel liggen . Een grote	niet genoeg context	context	NA	NA	unclear
heet	heet/adj/parool_20030417_48/239	geen	1	12_2	1	3	1	full	heersende macht . Een liefdesgedicht uitbrengen terwijl je geen lid van de Kultuurkamer was ,	heet	clandestien , en een vlammend protest tegen het nationaal-socialisme wordt als illegaal geclassificeerd . De	Niet genoeg context, ik weet niet goed wat ze hier met 'heet clandestien' bedoelen	context	NA	NA	unclear
heffen	hef/verb/de_standaard_20010809_01_68/918	geen	0	1_4	2	4	0.75	majority	van Moskou . Zo bijvoorbeeld toen ze ermee instemde het tijdschrift De Nieuwe Tijdop te	heffen	. Dat orgaan van de interne oppositie in de partij had ze grotendeels zelf gefinancierd	niet genoeg context of ik herken het in deze context niet als een van de opties	context	NA	NA	unclear
heilzaam	heilzaam/adj/volkskrant_20010719_96/1142	geen	4	13_2	2	3	0.33	minority	oploopt , verdwijnt het als sneeuw voor de zon door het drinken van een kopje	heilzame	Cambodiaanse thee . Lara Croft : Tomb Raider is even saai als iemand anders een	context is niet voldoende, hier als metafoor?	context	NA	NA	unclear
helpen	help/verb/de_morgen_19990403_01_141/2	geen	4	13_2	3	3	0.33	none	Prommusic	helpt	Kosovo Organisator Prommusic biedt iedereen die minimaal 3.000 frank ( 74,3 euro ) stort op	onvoldoende context	context	NA	NA	unclear
helpen	help/verb/de_morgen_20040622_01_95/571	geen	4	13_2	2	3	0.33	minority	"lijkt ) alle lof toe te zwaaien . 	 Die twee voetballers hebben me uitstekend"	geholpen	". Shearer gaf me advies en Gascoigne vergezelde me tijdens de training . 	 Meteen"	te weinig context	context	NA	NA	unclear
helpen	help/verb/de_standaard_20010915_01_43/255	geen	4	13_2	2	3	0.33	minority	het kaakbeen inderdaad bevestigt dat de exclusief menselijke eigenschap om vrienden en familieleden te	helpen	bij problemen , bijzonder oud is . Afgezien van de relatie tussen moeder en kind	onduidelijke tekst	context	NA	NA	unclear
helpen	help/verb/het_laatste_nieuws_20041008_02_1139/922	geen	3	9_3	2	3	0.33	minority	lijdt . Want de beste manier om hen te helpen , is hen niet meer	helpen	. Ze gaan dan beseffen dat er geen andere oplossing is . Christiaens R ,	Niet genoeg context	context	NA	NA	unclear
helpen	help/verb/het_nieuwsblad_20001226_01_205/322	geen	4	9_3	3	3	0.33	none	nood . Internationale verdragen , zoals de Conventie van Genève , verplichten ons hen te	helpen	". Daarom moeten we ze straks zo goed mogelijk opvangen . 	 Actiegroep Naar het"	te weinig context	context	NA	NA	unclear
helpen	help/verb/nrc_handelsblad_20020629_33/2358	geen	0	14_3	2	4	0.25	minority	"Vrouwen hebben die bloedarmoede als ze zwanger zijn 	 , belde ze , 	 het"	helpt	". 	 Ze wil me spreken/filmen over dans in Nederland - snel , voordat hij"	vage context	context	NA	NA	unclear
helpen	help/verb/parool_20010125_39/713	geen	2	17_3	2	3	0.33	minority	"De trainingsbroek lag erbovenop . 	 Je moet maar vragen naar die meneer die mij"	geholpen	"heeft , 	 riep Fred Cohen hem na , 	 en breng je hem dan"	Niet genoeg context	context	NA	NA	unclear
helpen	help/verb/parool_20020223_112/250	geen	2	17_3	3	3	0.33	none	minuten aan de telefoon gehad . Toen heb ik gezegd dat ik haar niet kon	helpen	". 	 De advocaat geeft toe dat hij Davids hierna heeft verteld over de plannen"	Niet genoeg context	context	NA	NA	unclear
helpen	help/verb/parool_20020406_52/139	geen	1	17_3	2	3	0.33	minority	ik niet . Ik heb alleen een offertenummer . Stefan van de Salesafdeling heeft me	geholpen	. Als ik de computer met een spoedoverschrijving betaalde , zou ik hem binnen zes	Niet genoeg context	context	NA	NA	unclear
hemels	hemels/adj/algemeen_dagblad_19990517_119/238	geen	3	17_1	3	3	0.33	none	waarvan de rechten een vermogen kunnen opleveren . Het zijn niet alleen beschilderde bussen en	hemelse	faxen die de formule uitmaken . Ook het triviale feit dat er bij Jerry Springer	weinig context	context	NA	NA	unclear
hemels	hemels/adj/algemeen_dagblad_20000310_121/258	geen	5	17_1	2	3	0.33	minority	ziel , verlos me van mijn liefdespijn ! ' D'Hane-Scheltema komt in haar monumentale en	hemelse	vertaling steeds opnieuw tot zulke prachtige beelden . Leg er , om de kwaliteit van	weinig context	context	NA	NA	unclear
hemels	hemels/adj/algemeen_dagblad_20011027_167/10	geen	0	2_1	2	3	0.33	minority	Aardser kan het niet : op weg naar het	hemelse	heb ik mij verstrikt in het Kinki Area Rail System , twee pagina's naast elkaar	Te weinig context	context	NA	NA	unclear
hemels	hemels/adj/de_morgen_20030613_01_7/117	geen	3	17_1	2	3	0.33	minority	Is er immers niet die gigantische pot van 400 miljard oude franken waarmee al dat	hemelse	manna probleemloos gefinancierd kan worden ? De studiedienst van de werkgeversorganisatie VBO heeft zich bezighouden	weinig context	context	NA	NA	unclear
hemels	hemels/adj/de_morgen_20030625_01_156/400	geen	3	17_1	2	3	0.33	minority	het concert te binnen schoot , maar desondanks gaf E een antwoord : voor het	hemelse	' Novocaine for the Soul ' had hij wederom een nieuw arrangement bedacht en alweer	weinig context	context	NA	NA	unclear
hemels	hemels/adj/de_morgen_20040410_01_203/1146	geen	2	17_3	2	3	0.33	minority	gecoacht door theatermaakster An De Donder , muzikant Luc Mishalle en beeldhouwer Koenraad Tinel ,	hemelse	dingen uit in de kelders van HETPALEIS . Iedereen vanaf 14 jaar kan Gekelderd beleven	Niet genoeg context	context	NA	NA	unclear
hemels	hemels/adj/het_laatste_nieuws_20030412_01_589/308	geen	2	20_3	2	3	0.67	majority	Petatje , naar China om orde op zaken te stellen . Nero 161 : De	hemelse	vrede . Standaard Uitg. , 39 blz. , 4,60 euro De Schemerzwervers 4 Oog voor	niet genoeg context	context	NA	NA	unclear
hemels	hemels/adj/het_nieuwsblad_20000523_01_201/290	geen	0	20_3	2	3	0.67	majority	enthousiasme van de medewerkers . Al deed de VIP-tent van Kiwanis gouden zaken omdat de	hemelse	watervallen wel noopten om beschutting te blijven zoeken in de dichte omgeving van de toog	niet genoeg context	context	NA	NA	unclear
hemels	hemels/adj/parool_20011103_5/185	geen	2	2_2	3	3	0.33	none	de duistere tekeningen van Piranesi ten tonele als droombeelden van de jonge Quinten van de	hemelse	ruimte : een plek met alleen een interieur en geen buitenkant . Daarom ben ik	Niet genoeg context.	context	NA	NA	unclear
hemels	hemels/adj/parool_20011103_5/185	hemels_2	1	2_1	3	3	0.33	none	de duistere tekeningen van Piranesi ten tonele als droombeelden van de jonge Quinten van de	hemelse	ruimte : een plek met alleen een interieur en geen buitenkant . Daarom ben ik	te weinig context	context	NA	NA	hemels_2
hemels	hemels/adj/parool_20040409_69/301	geen	3	2_2	2	3	0.33	minority	gek vond dat ze niet anders kon dan een weg naar buiten , naar die	hemelse	klanken zoeken . En de kortste weg was ... Na een ontmoeting met deze nieuwe	Niet genoeg context.	context	NA	NA	unclear
hemels	hemels/adj/parool_20040619_77/48	geen	0	2_3	2	3	0.67	majority	! en de DDD-speler staat na damafname met 42-37 zeker niet minder . Groot -	Hemels	2-0 ZDC 't Zand - DDD Alkmaar D3 : 42 .... 9-14 ? Ook 8-12	Niet voldoende context	context	NA	NA	unclear
hemels	hemels/adj/parool_20040619_77/48	hemels_2	2	2_1	2	3	0.33	minority	! en de DDD-speler staat na damafname met 42-37 zeker niet minder . Groot -	Hemels	2-0 ZDC 't Zand - DDD Alkmaar D3 : 42 .... 9-14 ? Ook 8-12	Weinig context om exact te weten waat het over gaat.	context	NA	NA	hemels_2
herhalen	herhaal/verb/algemeen_dagblad_20000229_53/559	geen	2	16_2	3	3	0.33	none	manier voorbereiden op de schlager die straks gaat komen en liefst driemaal ongevarieerd zal worden	herhaald	. Maar wat is er tegen op vermaak ? Weinig of niets . Als we	niet genoeg context	context	NA	NA	unclear
herhalen	herhaal/verb/algemeen_dagblad_20020123_158/254	geen	2	16_2	2	3	0.33	minority	"' . Onzin , schrijft de New York Post : 	 Europa heeft niets ,"	herhaal	: niets zinnigs te zeggen tegen de Verenigde Staten inzake mensenrechten . Niet na de	ik vind de context onduidelijk	context	NA	NA	unclear
herhalen	herhaal/verb/de_morgen_20010127_01_272/202	geen	5	12_2	2	3	0.33	minority	installatie plant . Het beurshuis vindt de activiteit de moeite van het volgen waard en	herhaalt	"het advies 	 opbouwen 	 . Marge stijgt Ontex verwacht 50 procent meer omzet Ontex"	Context is te vaag	context	NA	NA	unclear
herhalen	herhaal/verb/de_morgen_20010411_01_228/612	geen	4	12_2	2	3	0.33	minority	Monotype gebruikte tot voor kort software van concurrent Adobe . Winstverwachting werd wel verlaagd Cordius	herhaalt	koopadvies voor D'Ieteren Cordius Asset Management heeft zijn winstverwachting voor autodistributeur D'Ieteren verlaagd . Dat	Onduidelijke context	context	NA	NA	unclear
herhalen	herhaal/verb/de_standaard_20040330_01_125/228	geen	2	19_3	2	3	0.33	minority	De dochter en de schoonbroer van Henrotte kwamen gisteren de versie van de bejaarde vrouw	herhalen	. Zelf is ze ondertussen ziek geworden . Het verhaal van Henrotte klopt niet .	Ik ben niet zeker wat de context van deze zin is	context	NA	NA	unclear
herhalen	herhaal/verb/parool_19990319_70/651	geen	0	16_3	2	3	0.33	minority	tot vijf procent . Voorlopig poogt het concern dat in zijn eentje bereiken , al	herhaalde	Van Male , net als Sylvia Tóth vorig jaar , dat Content overnamegesprekken met grotere	niet genoeg context, de zin staat er niet volledig op	context	NA	NA	unclear
herhalen	herhaal/verb/volkskrant_19990309_35/338	herhalen_1	1	18_3	2	3	0.67	majority	toegang tot natuur in privéhanden moest regelen . Dertig jaar lang , tot 1914 ,	herhaalde	hij dat jaarlijks - tevergeefs . Het grootste deel van Engeland bleef gesloten . En	Te weinig context	context	NA	NA	herhalen_1
herhalen	herhaal/verb/volkskrant_19990309_35/338	herhalen_1	4	18_2	2	3	0.67	majority	toegang tot natuur in privéhanden moest regelen . Dertig jaar lang , tot 1914 ,	herhaalde	hij dat jaarlijks - tevergeefs . Het grootste deel van Engeland bleef gesloten . En	Weinig context, eerste definitie lijkt meest voor de hand liggend	context	NA	NA	herhalen_1
herhalen	herhaal/verb/volkskrant_20040508_208/357	geen	1	9_3	3	3	0.33	none	is om af te wijken van de groepsmoraal ( zie de nota-Patijn ) wordt niet	herhaald	. Juist op dit punt lijkt een duidelijker keuze tussen individualisme en gemeenschapsdenken onontkoombaar .	Niet genoeg context.	context	NA	NA	unclear
herinneren	herinner/verb/het_laatste_nieuws_20020812_01_239/139	geen	0	9_3	2	3	0.33	minority	zal zich het avondcriterium op andapos; Het werft andapos; in Heist o/d Berg nog lang	herinneren	. andquot; Na afloop kreeg ik een vuistslag van Gert Claes . Blijkbaar kon die	Niet genoeg context	context	NA	NA	unclear
herkennen	herken/verb/de_morgen_20040702_01_51/218	geen	0	20_2	2	3	0.67	majority	de realiteit van hun plaats op de aarde ( of het gebrek daaraan ) in	herkennen	. Abu Ghraib heeft hun paranoïde visie op de realiteit versterkt . Al tientallen jaren	niet genoeg context	context	NA	NA	unclear
herkennen	herken/verb/de_morgen_20040702_01_51/218	geen	1	20_1	2	3	0.67	majority	de realiteit van hun plaats op de aarde ( of het gebrek daaraan ) in	herkennen	. Abu Ghraib heeft hun paranoïde visie op de realiteit versterkt . Al tientallen jaren	Naar mijn mening niet voldoende context om de betekenis uit af te leiden.	context	NA	NA	unclear
herkennen	herken/verb/de_standaard_20030925_01_104/377	geen	0	15_1	2	3	0.33	minority	. Ik koos het laatste . Nog steeds . Als ik iets vind , dan	herken	ik het . Telkens ik een productie klaar heb , zeg ik dat ik er	vage context	context	NA	NA	unclear
herkennen	herken/verb/de_standaard_20031114_01_15/247	geen	2	7_1	2	3	0.33	minority	vertoond wordt die in mei 1998 met de doders gemaakt werd . Tijdens die videoconferentie	herkenden	de Tunesiërs formeel Solazzo , Contrino , Di Mauro en Castellino . De banden van	Onduidelijke context	context	NA	NA	unclear
herkennen	herken/verb/het_laatste_nieuws_19990212_01_413/1	geen	2	7_1	2	3	0.33	minority	NA	Herkent	u haar Herkent u haar ? Waarom De Nieuwe Droomfabriek minder aanslaat dan vroeger ,	Niet genoeg context	context	NA	NA	unclear
herkennen	herken/verb/het_laatste_nieuws_20001030_01_475/102	geen	2	7_1	3	3	0.33	none	ik me absoluut niet inbeelden dat de jongens hier zo gekraakt zouden rondlopen . Ik	herken	spelers als Hoogmartens , Cuppens , ja zelfs Daniels niet . En natuurlijk missen we	Niet genoeg context	context	NA	NA	unclear
herkennen	herken/verb/het_laatste_nieuws_20010110_01_233/261	geen	2	7_1	3	3	0.33	none	galerie . Hij is sterk beïnvloed door de Eerste Wereldoorlog . andquot; In zijn beelden	herkennen	we vooral militairen , zeppelins , enzovoort . Toch neemt hij ons ook in de	Onduidelijke context	context	NA	NA	unclear
herkennen	herken/verb/het_laatste_nieuws_20021107_01_31/125	geen	2	7_1	3	3	0.33	none	. Hiervoor tekende Ronald Buersens garant . Wie meent andapos; Like a virgin andapos; te	herkennen	in andapos; Gelijk een schoolkind andapos; zit goed . En denken dat andapos; In brand	Tekens worden voluit geschreven waardoor de zin niet duidelijk is	context	NA	NA	unclear
herkennen	herken/verb/het_laatste_nieuws_20021216_01_220/90	geen	2	7_1	3	3	0.33	none	brengen herstellende cycli van de sterren oplossingen , maar het is aan ons die te	herkennen	! Proficiat beste Boogschutters ! Als u dit nieuwe zonnejaar wordt geconfronteerd met liefdesperikelen maakt	Niet genoeg context	context	NA	NA	unclear
herkennen	herken/verb/het_laatste_nieuws_20041224_01_463/209	geen	3	7_1	2	3	0.33	minority	over de jaren komt de controleploeg wel eens dezelfde gezichten tegen . andquot; Maar zij	herkennen	ons intussen ook al van ver . In het gsm-tijdperk is het dan ook niet	Niet genoeg context	context	NA	NA	unclear
herkennen	herken/verb/het_nieuwsblad_20010118_01_698/468	geen	0	19_2	2	3	0.33	minority	Vanneste , Jessie Vannieuwenhuyze , Berard en Bernard Delbeke , Christine Vanhaverbeke en Aimé Vandaele	herkennen	". 	 Tickets tegen 180 , 90 frank ) via 051-20.39.70 . Op 24 en"	Te weinig context...	context	NA	NA	unclear
herkennen	herken/verb/parool_20001014_98/414	geen	2	6_2	3	3	0.33	none	elkaar die eigenlijk niets met die man te maken hadden . Toch bleef iedereen het	herkennen	. Ook de Boudewijn Buch van Diederik luistert naar eigen wetten , hij draait volkomen	Niet genoeg context.	context	NA	NA	unclear
herkennen	herken/verb/volkskrant_19990402_139/441	geen	3	6_2	2	3	0.33	minority	, ándere plaatjes heeft dan de hier getoonde ) . Dat komt doordat hij iets	herkent	( uiteraard ) , maar vooral doordat hij mijmerend bij deze afbeeldingen beseft dat hij	niet genoeg context	context	NA	NA	unclear
herkennen	herken/verb/volkskrant_20010608_174/467	geen	0	12_1	2	3	0.67	majority	board of direction van European Transport Safety Council en de Beneluxraad voor Verkeersveiligheid niet zou	herkennen	. Weten wij veel dat mensen van verkeersorganisaties zich niet aan de regels hoeven te	niet genoeg context	context	NA	NA	unclear
herkennen	herken/verb/volkskrant_20010608_174/467	geen	4	12_2	2	3	0.67	majority	board of direction van European Transport Safety Council en de Beneluxraad voor Verkeersveiligheid niet zou	herkennen	. Weten wij veel dat mensen van verkeersorganisaties zich niet aan de regels hoeven te	Te weinig context	context	NA	NA	unclear
herkennen	herken/verb/volkskrant_20010816_49/480	geen	4	12_2	3	3	0.33	none	' Op wie doelt Lessing ? De radicale feministen ? Geeft ze voorbeelden ? Ik	herken	er niets in . Om me heen zie ik mannen en vrouwen die meestal prettig	Te weinig context	context	NA	NA	unclear
herkennen	herken/verb/volkskrant_20011102_153/785	geen	0	12_1	2	3	0.33	minority	de rol van chemie in neurologische storingen is nog iets van zijn jeugdige chemofilie te	herkennen	. Oom Wolfraam is in meer opzichten geen gewone autobiografie . Sacks avonturen in zijn	niet genoeg context	context	NA	NA	unclear
herkennen	herken/verb/volkskrant_20020329_139/950	geen	0	12_1	2	3	0.67	majority	het strand , die net zo goed een strandpaal kan zijn , die moet haar	herkennen	, omdat ze zélf doodsbang is even onaanzienlijk te zijn als een strandpaal . Met	niet genoeg context	context	NA	NA	unclear
herkennen	herken/verb/volkskrant_20020329_139/950	geen	4	12_2	2	3	0.67	majority	het strand , die net zo goed een strandpaal kan zijn , die moet haar	herkennen	, omdat ze zélf doodsbang is even onaanzienlijk te zijn als een strandpaal . Met	Te weinig context	context	NA	NA	unclear
herkennen	herken/verb/volkskrant_20040226_extra_75/150	geen	0	12_1	2	3	0.33	minority	is niet moeilijk daarin de angst voor biologische wapens , sars , of vogelpest te	herkennen	. Toch gebruikt Roth het kwaadaardige organisme niet voor een visie op de wereld .	niet genoeg context	context	NA	NA	unclear
herkennen	herken/verb/volkskrant_20040313_41/25	geen	0	12_1	2	3	0.67	majority	ooit moeten leren dat vakkennis alleen er in de politiek niet toe doet . Ze	herkent	er iets van bij Donner , ziet dat hij die ' speciale antenne ' nog	niet genoeg context	context	NA	NA	unclear
herkennen	herken/verb/volkskrant_20040313_41/25	geen	4	12_2	2	3	0.67	majority	ooit moeten leren dat vakkennis alleen er in de politiek niet toe doet . Ze	herkent	er iets van bij Donner , ziet dat hij die ' speciale antenne ' nog	te weinig context	context	NA	NA	unclear
herkennen	herken/verb/volkskrant_20040922_94/130	geen	0	12_1	3	3	0.33	none	. ' Let op die K ! De elite heeft het boek kennelijk pas laat	herkend	door al die elementen van moderne massacultuur die de elitaire kwaliteit aan het zicht onttrekken	niet genoeg context; herkend van een eerdere ontmoeting of herkend als identificeren?	context	NA	NA	unclear
herroepen	herroep/verb/algemeen_dagblad_20010323_11/268	geen	2	18_1	2	3	0.33	minority	over 2001 een gelijk resultaat als in 2000 haalbaar was . Afgelopen week werd dat	herroepen	. Het advertentievolume in de krant daalde in de eerst twee maanden van dit jaar	niet genoeg context	context	NA	NA	unclear
herroepen	herroep/verb/algemeen_dagblad_20011212_83/70	geen	0	18_1	3	3	0.33	none	. U stuurt de mannen in de witte jassen maar , ik zal het nooit	herroepen	, nooit . Dan maar gek verklaard . Of met meewarigheid overladen . Maar weet	niet genoeg context	context	NA	NA	unclear
herroepen	herroep/verb/nrc_handelsblad_20000707_44/1285	geen	0	2_3	2	3	0.33	minority	zijn en hem de agenten te hebben zien doodschieten , maar die kort daarna werd	herroepen	. Ontlastende informatie voor Peltier over de gebruikte munitie en wapens werd tijdens het proces	onvoldoende context	context	NA	NA	unclear
herroepen	herroep/verb/nrc_handelsblad_20000707_44/1285	herroepen_2	0	2_1	2	3	0.67	majority	zijn en hem de agenten te hebben zien doodschieten , maar die kort daarna werd	herroepen	. Ontlastende informatie voor Peltier over de gebruikte munitie en wapens werd tijdens het proces	weinig context	context	NA	NA	herroepen_2
herroepen	herroep/verb/volkskrant_20040430_134/396	geen	0	2_3	2	3	0.67	majority	Sjostakovitsj ( die dat overigens in 1986 , eenmaal naar het westen uitgeweken , weer	herriep	) . Zorgelijker was dat een Amerikaanse musicologe overtuigend wist aan te tonen dat Volkov	onvoldoende context	context	NA	NA	unclear
herroepen	herroep/verb/volkskrant_20040430_134/396	geen	2	2_2	2	3	0.67	majority	Sjostakovitsj ( die dat overigens in 1986 , eenmaal naar het westen uitgeweken , weer	herriep	) . Zorgelijker was dat een Amerikaanse musicologe overtuigend wist aan te tonen dat Volkov	Niet genoeg context	context	NA	NA	unclear
herroepen	herroep/verb/volkskrant_20040430_134/396	herroepen_2	0	2_1	2	3	0.33	minority	Sjostakovitsj ( die dat overigens in 1986 , eenmaal naar het westen uitgeweken , weer	herriep	) . Zorgelijker was dat een Amerikaanse musicologe overtuigend wist aan te tonen dat Volkov	weinig context	context	NA	NA	herroepen_2
herstellen	herstel/verb/algemeen_dagblad_20000908_68/373	geen	0	16_3	3	3	0.33	none	van de plaats van de verstopping , kan men proberen dit door een operatie te	herstellen	. Ik kan uit uw brief niet precies opmaken , waar bij u het probleem	niet genoeg context, ik twijfel tussen de 3 transitieve betekenissen	context	NA	NA	unclear
herstellen	herstel/verb/algemeen_dagblad_20001130_0/644	geen	0	16_3	3	3	0.33	none	. Daarin heeft hij gelijk . Gedaagde wordt bevolen het huurgenot van eiseres onmiddellijk te	herstellen	. De bouw moet worden stilgelegd . Ook hij is toe aan een time out	niet genoeg context	context	NA	NA	unclear
herstellen	herstel/verb/parool_20010119_83/512	geen	4	13_2	2	3	0.33	minority	"uitsluitsel geven . Boot : 	 We moeten bekijken of hij op redelijke termijn kan"	herstellen	of dat we een ander moeten halen .	niet genoeg context	context	NA	NA	unclear
herstellen	herstel/verb/volkskrant_19990522_152/423	geen	3	13_3	3	3	0.33	none	PvdA en VVD tot de mogelijkheden behoort , indien D66 blijft weigeren de breuk te	herstellen	. Premier Kok liet zich vrijdag niet uit over zijn verwachtingen ten aanzien van herstel	"Niet genoeg context. ""Breuk"" kan letterlijk of figuurlijk zijn."	context	NA	NA	unclear
herstellen	herstel/verb/volkskrant_20010918_113/371	geen	3	13_2	2	3	0.33	minority	elkaar in evenwicht . Automatiseerder Unit 4 , zalmkweker Nutreco en hoekmansbedrij Van der Moolen	herstelden	krachtig , terwijl ook KLM 7,6 procent steeg tot 9,90 euro . Laatstgenoemde koers bevindt	te weinig context	context	NA	NA	unclear
herstellen	herstel/verb/volkskrant_20030524_102/376	geen	3	13_2	2	3	0.33	minority	opmars van de euro de noodzaak tot structurele hervormingen om de exportpositie van Nederland te	herstellen	NA	te weinig context	context	NA	NA	unclear
herstructureren	herstructureer/verb/de_standaard_20020430_01_66/769	geen	0	4_3	2	3	0.33	minority	besliste om Renault-Vilvoorde te sluiten . Momenteel is Ghosn bezig de Japanse dochter Nissan te	herstructureren	. ( bloomberg ) RHODIA Winst neemt duik van meer dan zeventig procent . De	Niet genoeg context	context	NA	NA	unclear
