code	example	definition	lemma	my_dist	freq
hoopvol_1	een hoopvolle stemming, dat stemt mij hoopvol	(van personen, uitingen, gedragingen etc.) blijk gevend van hoop, vol hoop, optimistisch	hoopvol	0.62	25
hoopvol_2	hoopvolle perspectieven	reden tot hoop gevend, beloftevol	hoopvol	0.3	12
geestig_1	een geestige collega	scherpzinnig en humoristisch van aard	geestig	0.16	6
geestig_2	een geestig boek, een geestige blik, een geestige opmerking	blijk gevend van, uitdrukking gevend aan, gekenmerkt door scherpzinnigheid en humor	geestig	0.8	32
hachelijk_1	een hachelijke onderneming	met kans op een ongunstige afloop, (potentieel) gevaarlijk	hachelijk	0.58	23
hachelijk_2	een hachelijke situatie 	(reëel) gevaarlijk, netelig, kritiek, benard	hachelijk	0.4	16
hoekig_1	een hoekige tekening, een hoekig gezicht	(van voorwerpen, figuren e.d.) met hoeken of scherpe kanten	hoekig	0.48	19
hoekig_2	een hoekig melodietje	(van bewegingen, ritmes e.d.) niet vloeiend	hoekig	0.28	11
hoekig_3	een hoekig karakter	(van personen) houterig, stijf, onhandig in de omgang	hoekig	0.12	5
dof_1	een doffe blik	(van kleuren en zichtbare dingen) mat, zonder glans, vaal	dof	0.3	12
dof_2	een doffe kreet	(van geluiden) niet luid of scherp, onderdrukt, gesmoord	dof	0.3	12
dof_3	doffe onverschilligheid, doffe ellende	(van personen, gevoelens e.d.) niet opgewekt, lusteloos, zonder energie	dof	0.2	8
dof_4	een doffe herinnering	(van denkbeelden e.d.) niet scherp voor de geest staand	dof	0.04	2
heilzaam_1	een heilzaam dieet	(letterlijk) bijdragend tot gezondheid en lichamelijk welzijn	heilzaam	0.56	22
heilzaam_2	een heilzaam besluit	(figuurlijk) nuttig, een gunstig effect hebbend	heilzaam	0.3	12
gekleurd_1	gekleurde wangen	met kleur, in letterlijke zin (in het bijzonder, niet zwart, wit of grijs)	gekleurd	0.65	26
gekleurd_2	de gekleurde medemens, van gekleurde afkomst zijn	(van personen e.a.) niet blank	gekleurd	0.18	7
gekleurd_3	een gekleurde voorstelling van zaken	(van uitspraken, opvattingen e.d.) niet neutraal, tendentieus	gekleurd	0.12	5
geldig_1	een geldig vervoerbewijs, betaalmiddel, juridisch bewijs	van kracht, van toepassing, van waarde zijnde volgens wettelijke of andere regels	geldig	0.8	32
geldig_2	een geldige redenering	van kracht, van toepassing, van waarde in ruimere zin	geldig	0.2	8
hemels_1	de hemelse Vader, de hemelse boodschap	betrekking hebbend op de hemel	hemels	0.3	12
hemels_2	een hemelse verschijning, een hemelse stem	verrukkelijk, heerlijk, zalig, goddelijk	hemels	0.6	24
goedkoop_1	goedkope wijn	laag in prijs, betaalbaar, voordelig	goedkoop	0.55	22
goedkoop_2	een goedkoop winkeltje, een goedkope loodgieter 	geen hoge prijzen vragend	goedkoop	0.18	7
goedkoop_3	een goedkope buurt	waar de prijzen laag zijn	goedkoop	0.02	1
goedkoop_4	goedkope lof, goedkoop succes, goedkope argumenten	van weinig waarde, makkelijk verkregen, oppervlakkig, banaal	goedkoop	0.1	4
heet_1	een gloeiend hete kachel	(van dingen) zeer warm	heet	0.5	20
