_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
herhalen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.6072665274250731	-0.31938322611369985	NA	NA	BOW	NA	bound	406	lex	10_10	1	weight	5000	5000	nav	4_4	NA	305	herhalen
herhalen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.8308832632388287	-0.47779517100742475	NA	NA	BOW	NA	bound	406	lex	10_10	1	weight	5000	5000	all	4_4	NA	305	herhalen
herhalen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5097477930998358	-0.35009474985552225	NA	NA	BOW	NA	bound	406	lex	10_10	1	weight	FOC	260	nav	4_4	NA	305	herhalen
herhalen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.5111393829447921	-0.32934342363170754	NA	NA	BOW	NA	bound	406	lex	10_10	1	weight	FOC	406	all	4_4	NA	305	herhalen
herhalen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.6033242821492194	-0.4799576252770976	NA	NA	BOW	NA	bound	406	lex	10_10	1	selection	5000	5000	nav	4_4	NA	305	herhalen
herhalen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.802310014034848	-0.7987700006223057	NA	NA	BOW	NA	bound	406	lex	10_10	1	selection	5000	5000	all	4_4	NA	305	herhalen
herhalen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5197618537879368	-0.5546994123947486	NA	NA	BOW	NA	bound	406	lex	10_10	1	selection	FOC	260	nav	4_4	NA	305	herhalen
herhalen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.5168790831637176	-0.49753723314827325	NA	NA	BOW	NA	bound	406	lex	10_10	1	selection	FOC	406	all	4_4	NA	305	herhalen
herhalen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.6828644411761722	-1.0032775170411035	NA	NA	BOW	NA	bound	888	lex	10_10	1	no	5000	5000	nav	4_4	NA	312	herhalen
herhalen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.7830469097845953	-1.664825744386967	NA	NA	BOW	NA	bound	888	lex	10_10	1	no	5000	5000	all	4_4	NA	312	herhalen
herhalen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.6366280815633143	-1.1026257775400414	NA	NA	BOW	NA	bound	888	lex	10_10	1	no	FOC	656	nav	4_4	NA	312	herhalen
herhalen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.6207209863278141	-1.0361796178674303	NA	NA	BOW	NA	bound	888	lex	10_10	1	no	FOC	888	all	4_4	NA	312	herhalen
herhalen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.1164294767989642	-0.17173301368227523	NA	NA	BOW	NA	bound	610	all	10_10	1	weight	5000	5000	nav	4_4	NA	311	herhalen
herhalen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.033923576876408575	-0.6097037664358613	NA	NA	BOW	NA	bound	610	all	10_10	1	weight	5000	5000	all	4_4	NA	311	herhalen
herhalen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.12502361255831532	-0.27954079922489244	NA	NA	BOW	NA	bound	610	all	10_10	1	weight	FOC	260	nav	4_4	NA	311	herhalen
herhalen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.12723228378373624	-0.22997376718920987	NA	NA	BOW	NA	bound	610	all	10_10	1	weight	FOC	610	all	4_4	NA	311	herhalen
herhalen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.2784619381715823	-0.48332435031160426	NA	NA	BOW	NA	bound	610	all	10_10	1	selection	5000	5000	nav	4_4	NA	311	herhalen
herhalen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.25205331265536235	-1.0095660142577414	NA	NA	BOW	NA	bound	610	all	10_10	1	selection	5000	5000	all	4_4	NA	311	herhalen
herhalen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.29402018869127955	-0.6122979898875885	NA	NA	BOW	NA	bound	610	all	10_10	1	selection	FOC	260	nav	4_4	NA	311	herhalen
herhalen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.2323808091579026	-0.5009944606707516	NA	NA	BOW	NA	bound	610	all	10_10	1	selection	FOC	610	all	4_4	NA	311	herhalen
herhalen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.7811284379586926	-1.3210418361523057	NA	NA	BOW	NA	bound	1268	all	10_10	1	no	5000	5000	nav	4_4	NA	312	herhalen
herhalen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	1.0789938109963988	-1.9446477504253576	NA	NA	BOW	NA	bound	1268	all	10_10	1	no	5000	5000	all	4_4	NA	312	herhalen
herhalen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.6221665254863922	-1.2647006444498812	NA	NA	BOW	NA	bound	1268	all	10_10	1	no	FOC	656	nav	4_4	NA	312	herhalen
herhalen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	0.5620342599163891	-1.205140280542037	NA	NA	BOW	NA	bound	1268	all	10_10	1	no	FOC	1268	all	4_4	NA	312	herhalen
herhalen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.6118228130337491	0.08831478379358394	NA	NA	BOW	NA	bound	300	lex	5_5	1	weight	5000	5000	nav	4_4	NA	292	herhalen
herhalen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.8407360570916581	0.2769218050222088	NA	NA	BOW	NA	bound	300	lex	5_5	1	weight	5000	5000	all	4_4	NA	292	herhalen
herhalen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.606695277840262	0.11264402367031322	NA	NA	BOW	NA	bound	300	lex	5_5	1	weight	FOC	190	nav	4_4	NA	292	herhalen
herhalen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.5853148590564052	0.09045069137352191	NA	NA	BOW	NA	bound	300	lex	5_5	1	weight	FOC	300	all	4_4	NA	292	herhalen
herhalen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.6499168669897653	0.0210396469249277	NA	NA	BOW	NA	bound	300	lex	5_5	1	selection	5000	5000	nav	4_4	NA	292	herhalen
herhalen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.897272985559418	0.15998892783253965	NA	NA	BOW	NA	bound	300	lex	5_5	1	selection	5000	5000	all	4_4	NA	292	herhalen
herhalen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5962108263359073	-0.0054513188536480794	NA	NA	BOW	NA	bound	300	lex	5_5	1	selection	FOC	190	nav	4_4	NA	292	herhalen
herhalen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.5601959338325683	3.9820760165272116e-4	NA	NA	BOW	NA	bound	300	lex	5_5	1	selection	FOC	300	all	4_4	NA	292	herhalen
herhalen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.081792675775829	-0.022330310217000292	NA	NA	BOW	NA	bound	525	lex	5_5	1	no	5000	5000	nav	4_4	NA	311	herhalen
herhalen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-1.5520657864715866	0.035697426632209796	NA	NA	BOW	NA	bound	525	lex	5_5	1	no	5000	5000	all	4_4	NA	311	herhalen
herhalen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.0661177283790932	-0.08769185136038297	NA	NA	BOW	NA	bound	525	lex	5_5	1	no	FOC	380	nav	4_4	NA	311	herhalen
herhalen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-1.012070668621073	-0.08467335753854002	NA	NA	BOW	NA	bound	525	lex	5_5	1	no	FOC	525	all	4_4	NA	311	herhalen
herhalen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.007300020755722171	0.38835452394562314	NA	NA	BOW	NA	bound	471	all	5_5	1	weight	5000	5000	nav	4_4	NA	310	herhalen
herhalen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.29720275572119753	0.8184796143414594	NA	NA	BOW	NA	bound	471	all	5_5	1	weight	5000	5000	all	4_4	NA	310	herhalen
herhalen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.053611734150629205	0.3546575080256884	NA	NA	BOW	NA	bound	471	all	5_5	1	weight	FOC	190	nav	4_4	NA	310	herhalen
herhalen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.03533587890849766	0.31923557484698967	NA	NA	BOW	NA	bound	471	all	5_5	1	weight	FOC	471	all	4_4	NA	310	herhalen
herhalen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.0858411282280552	0.2303604640850468	NA	NA	BOW	NA	bound	471	all	5_5	1	selection	5000	5000	nav	4_4	NA	310	herhalen
herhalen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.052986779464505925	0.6161499734241274	NA	NA	BOW	NA	bound	471	all	5_5	1	selection	5000	5000	all	4_4	NA	310	herhalen
herhalen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.10389098672590776	0.11934344783797564	NA	NA	BOW	NA	bound	471	all	5_5	1	selection	FOC	190	nav	4_4	NA	310	herhalen
herhalen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.05970511356933512	0.10490540748481963	NA	NA	BOW	NA	bound	471	all	5_5	1	selection	FOC	471	all	4_4	NA	310	herhalen
herhalen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.9813170186506837	-0.7287831737550345	NA	NA	BOW	NA	bound	797	all	5_5	1	no	5000	5000	nav	4_4	NA	312	herhalen
herhalen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	1.5026453527795098	-1.3043060978099108	NA	NA	BOW	NA	bound	797	all	5_5	1	no	5000	5000	all	4_4	NA	312	herhalen
herhalen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.7374611923071814	-0.7076828682241324	NA	NA	BOW	NA	bound	797	all	5_5	1	no	FOC	380	nav	4_4	NA	312	herhalen
herhalen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.5861967822204458	-0.6209389843103189	NA	NA	BOW	NA	bound	797	all	5_5	1	no	FOC	797	all	4_4	NA	312	herhalen
herhalen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.5107650689182245	0.2870721972410191	NA	NA	BOW	NA	bound	221	lex	3_3	1	weight	5000	5000	nav	4_4	NA	267	herhalen
herhalen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.6091849833310479	0.557532995961766	NA	NA	BOW	NA	bound	221	lex	3_3	1	weight	5000	5000	all	4_4	NA	267	herhalen
